Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
16_1_BolO_9g65570.2,0.2500,0.2329,0.4452,0.2500,0.2432,0.3322,0.2432,0.5342,0.2397,0.2534,0.0000,0.2500,0.2432,0.2329,0.2500,0.2397,0.3151,0.2432,0.2397,0.2329,0.2877,0.2432,0.2295,0.2500,0.2397,0.2329,0.2500,0.2397,0.2329,0.2808,0.2911
16_1_BolO_9g65590.1,0.0000,0.0240,0.2329,0.0171,0.0137,0.1130,0.0274,0.4966,0.0103,0.0137,0.2500,0.0000,0.0137,0.0240,0.0000,0.0103,0.0788,0.0137,0.0103,0.0240,0.4726,0.0137,0.4555,0.0000,0.0103,0.0240,0.0000,0.0103,0.0240,0.0445,0.0616
16_1_BolO_9g65600.1,0.0137,0.0171,0.2260,0.0240,0.0068,0.1062,0.0205,0.4897,0.0034,0.0274,0.2432,0.0137,0.0000,0.0171,0.0137,0.0034,0.0925,0.0068,0.0034,0.0171,0.4658,0.0068,0.4486,0.0137,0.0034,0.0171,0.0137,0.0034,0.0171,0.0582,0.0548
11_1_BroT12.C09g56450.1,0.0240,0.0000,0.2123,0.0342,0.0171,0.1062,0.0171,0.5000,0.0137,0.0377,0.2329,0.0240,0.0171,0.0000,0.0240,0.0137,0.1027,0.0171,0.0137,0.0000,0.4623,0.0171,0.4315,0.0240,0.0137,0.0000,0.0240,0.0137,0.0000,0.0685,0.0651
11_1_BroT12.C09g56470.1,0.0000,0.0240,0.2329,0.0171,0.0137,0.1130,0.0274,0.4966,0.0103,0.0137,0.2500,0.0000,0.0137,0.0240,0.0000,0.0103,0.0788,0.0137,0.0103,0.0240,0.4726,0.0137,0.4555,0.0000,0.0103,0.0240,0.0000,0.0103,0.0240,0.0445,0.0616
11_1_BroT12.C09g56490.1,0.0103,0.0137,0.2226,0.0205,0.0034,0.1027,0.0171,0.4863,0.0000,0.0240,0.2397,0.0103,0.0034,0.0137,0.0103,0.0000,0.0890,0.0034,0.0000,0.0137,0.4623,0.0034,0.4452,0.0103,0.0000,0.0137,0.0103,0.0000,0.0137,0.0548,0.0514
9_1_BroT24.C09g53620.1,0.0788,0.1027,0.3116,0.0788,0.0925,0.1918,0.1062,0.4658,0.0890,0.0822,0.3151,0.0788,0.0925,0.1027,0.0788,0.0890,0.0000,0.0925,0.0890,0.1027,0.4726,0.0925,0.4555,0.0788,0.0890,0.1027,0.0788,0.0890,0.1027,0.0651,0.1404
12_1_BroT10.C09g56270.1,0.0137,0.0171,0.2260,0.0240,0.0000,0.1027,0.0205,0.4897,0.0034,0.0274,0.2432,0.0137,0.0068,0.0171,0.0137,0.0034,0.0925,0.0000,0.0034,0.0171,0.4658,0.0000,0.4486,0.0137,0.0034,0.0171,0.0137,0.0034,0.0171,0.0582,0.0548
9_1_BroT24.C09g53630.1,0.0103,0.0137,0.2226,0.0205,0.0034,0.1027,0.0171,0.4863,0.0000,0.0240,0.2397,0.0103,0.0034,0.0137,0.0103,0.0000,0.0890,0.0034,0.0000,0.0137,0.4623,0.0034,0.4452,0.0103,0.0000,0.0137,0.0103,0.0000,0.0137,0.0548,0.0514
9_1_BroT24.C09g53600.1,0.0240,0.0000,0.2123,0.0342,0.0171,0.1062,0.0171,0.5000,0.0137,0.0377,0.2329,0.0240,0.0171,0.0000,0.0240,0.0137,0.1027,0.0171,0.0137,0.0000,0.4623,0.0171,0.4315,0.0240,0.0137,0.0000,0.0240,0.0137,0.0000,0.0685,0.0651
3_1_rna-XM_013756814.1,0.4726,0.4623,0.6678,0.4692,0.4658,0.5445,0.4452,0.5308,0.4623,0.4795,0.2877,0.4726,0.4658,0.4623,0.4726,0.4623,0.4726,0.4658,0.4623,0.4623,0.0000,0.4658,0.0685,0.4726,0.4623,0.4623,0.4726,0.4623,0.4623,0.4623,0.5137
3_1_rna-XM_013756817.1,0.0137,0.0171,0.2260,0.0240,0.0000,0.1027,0.0205,0.4897,0.0034,0.0274,0.2432,0.0137,0.0068,0.0171,0.0137,0.0034,0.0925,0.0000,0.0034,0.0171,0.4658,0.0000,0.4486,0.0137,0.0034,0.0171,0.0137,0.0034,0.0171,0.0582,0.0548
1_1_BolK_9g63770.2,0.4555,0.4315,0.6438,0.4521,0.4486,0.5377,0.4486,0.5034,0.4452,0.4623,0.2295,0.4555,0.4486,0.4315,0.4555,0.4452,0.4555,0.4486,0.4452,0.4315,0.0685,0.4486,0.0000,0.4555,0.4452,0.4315,0.4555,0.4452,0.4315,0.4486,0.4966
1_1_BolK_9g63780.1,0.0000,0.0240,0.2329,0.0171,0.0137,0.1130,0.0274,0.4966,0.0103,0.0137,0.2500,0.0000,0.0137,0.0240,0.0000,0.0103,0.0788,0.0137,0.0103,0.0240,0.4726,0.0137,0.4555,0.0000,0.0103,0.0240,0.0000,0.0103,0.0240,0.0445,0.0616
1_1_BolK_9g63790.1,0.0103,0.0137,0.2226,0.0205,0.0034,0.1027,0.0171,0.4863,0.0000,0.0240,0.2397,0.0103,0.0034,0.0137,0.0103,0.0000,0.0890,0.0034,0.0000,0.0137,0.4623,0.0034,0.4452,0.0103,0.0000,0.0137,0.0103,0.0000,0.0137,0.0548,0.0514
13_1_BroT08.C09g55720.1,0.0240,0.0000,0.2123,0.0342,0.0171,0.1062,0.0171,0.5000,0.0137,0.0377,0.2329,0.0240,0.0171,0.0000,0.0240,0.0137,0.1027,0.0171,0.0137,0.0000,0.4623,0.0171,0.4315,0.0240,0.0137,0.0000,0.0240,0.0137,0.0000,0.0685,0.0651
13_1_BroT08.C09g55740.1,0.0000,0.0240,0.2329,0.0171,0.0137,0.1130,0.0274,0.4966,0.0103,0.0137,0.2500,0.0000,0.0137,0.0240,0.0000,0.0103,0.0788,0.0137,0.0103,0.0240,0.4726,0.0137,0.4555,0.0000,0.0103,0.0240,0.0000,0.0103,0.0240,0.0445,0.0616
13_1_BroT08.C09g55760.1,0.0103,0.0137,0.2226,0.0205,0.0034,0.1027,0.0171,0.4863,0.0000,0.0240,0.2397,0.0103,0.0034,0.0137,0.0103,0.0000,0.0890,0.0034,0.0000,0.0137,0.4623,0.0034,0.4452,0.0103,0.0000,0.0137,0.0103,0.0000,0.0137,0.0548,0.0514
4_1_bro9G06414.1,0.0240,0.0000,0.2123,0.0342,0.0171,0.1062,0.0171,0.5000,0.0137,0.0377,0.2329,0.0240,0.0171,0.0000,0.0240,0.0137,0.1027,0.0171,0.0137,0.0000,0.4623,0.0171,0.4315,0.0240,0.0137,0.0000,0.0240,0.0137,0.0000,0.0685,0.0651
14_1_BroT17.C09g58390.1,0.0445,0.0685,0.2774,0.0514,0.0582,0.1575,0.0719,0.4760,0.0548,0.0445,0.2808,0.0445,0.0582,0.0685,0.0445,0.0548,0.0651,0.0582,0.0548,0.0685,0.4623,0.0582,0.4486,0.0445,0.0548,0.0685,0.0445,0.0548,0.0685,0.0000,0.1062
14_1_BroT17.C09g58400.1,0.0616,0.0651,0.2740,0.0719,0.0548,0.1541,0.0685,0.5377,0.0514,0.0753,0.2911,0.0616,0.0548,0.0651,0.0616,0.0514,0.1404,0.0548,0.0514,0.0651,0.5137,0.0548,0.4966,0.0616,0.0514,0.0651,0.0616,0.0514,0.0651,0.1062,0.0000
