Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
16_1_BolO_9g65570.2,11,14,12,11,11,10,11,6,12,10,18,11,12,14,11,12,6,11,12,14,5,11,9,11,12,14,11,12,14,6,12
16_1_BolO_9g65590.1,18,13,12,14,16,12,12,9,17,15,11,18,17,13,18,17,9,16,17,13,4,16,5,18,17,13,18,17,13,10,17
16_1_BolO_9g65600.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
11_1_BroT12.C09g56450.1,13,18,16,11,13,12,13,6,14,10,14,13,14,18,13,14,4,13,14,18,5,13,10,13,14,18,13,14,18,5,14
11_1_BroT12.C09g56470.1,18,13,12,14,16,12,12,9,17,15,11,18,17,13,18,17,9,16,17,13,4,16,5,18,17,13,18,17,13,10,17
11_1_BroT12.C09g56490.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
9_1_BroT24.C09g53620.1,9,4,3,10,7,3,3,14,8,9,6,9,8,4,9,8,18,7,8,4,4,7,5,9,8,4,9,8,4,12,8
12_1_BroT10.C09g56270.1,16,13,12,14,18,13,12,9,17,13,11,16,17,13,16,17,7,18,17,13,4,18,5,16,17,13,16,17,13,8,17
9_1_BroT24.C09g53630.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
9_1_BroT24.C09g53600.1,13,18,16,11,13,12,13,6,14,10,14,13,14,18,13,14,4,13,14,18,5,13,10,13,14,18,13,14,18,5,14
3_1_rna-XM_013756814.1,4,5,5,5,4,6,10,7,5,3,5,4,5,5,4,5,4,4,5,5,18,4,12,4,5,5,4,5,5,4,5
3_1_rna-XM_013756817.1,16,13,12,14,18,13,12,9,17,13,11,16,17,13,16,17,7,18,17,13,4,18,5,16,17,13,16,17,13,8,17
1_1_BolK_9g63770.2,5,10,8,6,5,4,5,8,6,4,9,5,6,10,5,6,5,5,6,10,12,5,18,5,6,10,5,6,10,4,6
1_1_BolK_9g63780.1,18,13,12,14,16,12,12,9,17,15,11,18,17,13,18,17,9,16,17,13,4,16,5,18,17,13,18,17,13,10,17
1_1_BolK_9g63790.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
13_1_BroT08.C09g55720.1,13,18,16,11,13,12,13,6,14,10,14,13,14,18,13,14,4,13,14,18,5,13,10,13,14,18,13,14,18,5,14
13_1_BroT08.C09g55740.1,18,13,12,14,16,12,12,9,17,15,11,18,17,13,18,17,9,16,17,13,4,16,5,18,17,13,18,17,13,10,17
13_1_BroT08.C09g55760.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
4_1_bro9G06414.1,13,18,16,11,13,12,13,6,14,10,14,13,14,18,13,14,4,13,14,18,5,13,10,13,14,18,13,14,18,5,14
14_1_BroT17.C09g58390.1,10,5,4,9,8,4,4,12,9,10,6,10,9,5,10,9,12,8,9,5,4,8,4,10,9,5,10,9,5,18,9
14_1_BroT17.C09g58400.1,17,14,13,15,17,13,13,10,18,14,12,17,18,14,17,18,8,17,18,14,5,17,6,17,18,14,17,18,14,9,18
