#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 2,Genome 3,Genome 4
650912,accessory,1,1,,1,1,,
650912,accessory,4,1,,1,1,,
650913,core,2,2,1,,1,1,
650936,accessory,1,2,,2,,1,
650936,accessory,3,2,,2,,1,
650937,core,2,2,1,,1,1,
650939,core,2,2,1,,,,
650939,core,3,2,1,,,,
650939,core,4,2,1,,,,
650940,accessory,1,1,,1,,,
650940,accessory,3,1,,1,,,
650940,accessory,4,1,,1,,,
650941,accessory,1,1,,,1,,
650941,accessory,2,1,,,1,,
650941,accessory,4,1,,,1,,
650942,accessory,1,1,,,1,1,
650942,accessory,2,1,,,1,1,
650955,core,2,2,1,,1,1,
650956,accessory,1,1,,,1,,
650956,accessory,2,1,,,1,,
650956,accessory,4,1,,,1,,
650957,accessory,1,1,,,1,,
650957,accessory,2,1,,,1,,
650957,accessory,4,1,,,1,,
650974,accessory,1,1,,1,,1,
650974,accessory,3,1,,1,,1,
650985,core,2,4,2,,1,,
650985,core,4,4,2,,1,,
650986,core,1,3,,1,,1,
650986,core,3,3,,1,,1,
650988,accessory,2,1,1,,1,,
650988,accessory,4,1,1,,1,,
650996,accessory,1,1,,,1,1,
650996,accessory,2,1,,,1,1,
650997,accessory,3,1,1,1,,,
650997,accessory,4,1,1,1,,,
650998,accessory,1,1,,,1,1,
650998,accessory,2,1,,,1,1,
650999,accessory,3,1,1,1,,,
650999,accessory,4,1,1,1,,,
651000,accessory,1,1,,,1,1,
651000,accessory,2,1,,,1,1,
651003,accessory,1,1,,,1,,
651003,accessory,2,1,,,1,,
651003,accessory,4,1,,,1,,
651008,accessory,3,1,1,1,,,
651008,accessory,4,1,1,1,,,
651009,accessory,2,1,1,,1,,
651009,accessory,4,1,1,,1,,
651010,accessory,1,1,,,1,1,
651010,accessory,2,1,,,1,1,
651019,accessory,2,1,1,,,1,
651019,accessory,3,1,1,,,1,
651020,accessory,1,1,,1,1,,
651020,accessory,4,1,,1,1,,
651021,accessory,1,1,,1,,1,
651021,accessory,3,1,,1,,1,
651022,accessory,2,1,1,,1,,
651022,accessory,4,1,1,,1,,
651023,accessory,1,1,,1,,1,
651023,accessory,3,1,,1,,1,
651024,core,1,2,,,1,,
651024,core,2,2,,,1,,
651024,core,4,2,,,1,,
651034,core,2,2,1,,1,1,
651042,core,2,2,1,,1,1,
651049,accessory,1,1,,,1,1,
651049,accessory,2,1,,,1,1,
651054,accessory,4,2,1,2,2,,
651055,accessory,1,1,,1,1,,
651055,accessory,4,1,,1,1,,
651067,accessory,1,1,,,1,,
651067,accessory,2,1,,,1,,
651067,accessory,4,1,,,1,,
651080,core,1,2,,,1,,
651080,core,2,2,,,1,,
651080,core,4,2,,,1,,
651084,accessory,1,1,,,1,,
651084,accessory,2,1,,,1,,
651084,accessory,4,1,,,1,,
651088,core,2,2,1,,1,1,
651104,accessory,2,2,2,,1,1,
651105,accessory,1,1,,1,1,,
651105,accessory,4,1,,1,1,,
651107,accessory,2,1,1,,,,
651107,accessory,3,1,1,,,,
651107,accessory,4,1,1,,,,
651108,accessory,1,1,,,1,,
651108,accessory,2,1,,,1,,
651108,accessory,4,1,,,1,,
651123,accessory,1,2,,,2,2,
651123,accessory,2,2,,,2,2,
651124,accessory,4,2,1,2,2,,
651125,accessory,1,1,,1,,1,
651125,accessory,3,1,,1,,1,
651160,core,4,2,1,1,1,,
651181,accessory,1,1,,1,,1,
651181,accessory,3,1,,1,,1,
651186,accessory,1,3,,3,2,3,
651190,accessory,3,2,1,2,,2,
651191,accessory,2,1,1,,1,,
651191,accessory,4,1,1,,1,,
651195,accessory,1,1,,1,,1,
651195,accessory,3,1,,1,,1,
651196,accessory,1,1,,1,1,,
651196,accessory,4,1,,1,1,,
651197,core,1,2,,1,1,1,
651210,core,3,2,1,1,,1,
651218,accessory,1,1,,1,1,,
651218,accessory,4,1,,1,1,,
651223,core,4,2,1,1,1,,
651232,accessory,1,1,,,1,1,
651232,accessory,2,1,,,1,1,
651234,accessory,2,1,1,,,1,
651234,accessory,3,1,1,,,1,
651238,core,1,3,,1,,,
651238,core,3,3,,1,,,
651238,core,4,3,,1,,,
651245,accessory,1,1,,1,,,
651245,accessory,3,1,,1,,,
651245,accessory,4,1,,1,,,
651247,accessory,1,1,,1,,,
651247,accessory,3,1,,1,,,
651247,accessory,4,1,,1,,,
651250,accessory,1,1,,,1,,
651250,accessory,2,1,,,1,,
651250,accessory,4,1,,,1,,
651253,accessory,1,1,,,1,,
651253,accessory,2,1,,,1,,
651253,accessory,4,1,,,1,,
651259,accessory,1,1,,,1,,
651259,accessory,2,1,,,1,,
651259,accessory,4,1,,,1,,
651260,accessory,2,1,1,,1,,
651260,accessory,4,1,1,,1,,
651265,accessory,1,1,,,1,,
651265,accessory,2,1,,,1,,
651265,accessory,4,1,,,1,,
651270,accessory,1,1,,,,1,
651270,accessory,2,1,,,,1,
651270,accessory,3,1,,,,1,
651271,accessory,1,1,,,,1,
651271,accessory,2,1,,,,1,
651271,accessory,3,1,,,,1,
651273,accessory,1,2,,1,2,2,
651274,accessory,1,1,,,1,,
651274,accessory,2,1,,,1,,
651274,accessory,4,1,,,1,,
651275,accessory,3,1,1,1,,,
651275,accessory,4,1,1,1,,,
651284,accessory,1,1,,1,,1,
651284,accessory,3,1,,1,,1,
651286,core,4,2,1,1,1,,
651304,accessory,1,1,,1,,1,
651304,accessory,3,1,,1,,1,
651309,accessory,3,2,1,2,,1,
651310,accessory,1,1,,1,,,
651310,accessory,3,1,,1,,,
651310,accessory,4,1,,1,,,
651311,accessory,2,1,1,,,,
651311,accessory,3,1,1,,,,
651311,accessory,4,1,1,,,,
651312,accessory,1,2,,2,1,2,
651329,core,4,4,1,2,1,,
651338,core,3,3,2,1,,1,
651342,core,1,2,,1,,,
651342,core,3,2,,1,,,
651342,core,4,2,,1,,,
651345,accessory,3,3,1,2,,3,
651347,core,1,2,,1,,1,
651347,core,3,2,,1,,1,
651353,accessory,1,2,,2,1,,
651353,accessory,4,2,,2,1,,
651354,accessory,2,3,2,,2,3,
651355,core,3,2,1,1,,1,
651356,core,2,2,1,,1,1,
651357,accessory,2,2,1,,2,,
651357,accessory,4,2,1,,2,,
651380,accessory,4,2,2,1,1,,
651386,accessory,1,2,,1,2,1,
651388,accessory,1,2,,2,2,,
651388,accessory,4,2,,2,2,,
651389,accessory,1,1,,,,1,
651389,accessory,2,1,,,,1,
651389,accessory,3,1,,,,1,
651390,accessory,1,1,,,1,,
651390,accessory,2,1,,,1,,
651390,accessory,4,1,,,1,,
651392,accessory,1,1,,,1,,
651392,accessory,2,1,,,1,,
651392,accessory,4,1,,,1,,
651393,accessory,1,1,,,1,,
651393,accessory,2,1,,,1,,
651393,accessory,4,1,,,1,,
651397,accessory,1,1,,,,1,
651397,accessory,2,1,,,,1,
651397,accessory,3,1,,,,1,
651401,accessory,1,1,,1,,,
651401,accessory,3,1,,1,,,
651401,accessory,4,1,,1,,,
651402,accessory,1,1,,1,,,
651402,accessory,3,1,,1,,,
651402,accessory,4,1,,1,,,
651403,accessory,1,1,,,1,,
651403,accessory,2,1,,,1,,
651403,accessory,4,1,,,1,,
651405,accessory,1,1,,,1,,
651405,accessory,2,1,,,1,,
651405,accessory,4,1,,,1,,
651406,accessory,2,1,1,,,,
651406,accessory,3,1,1,,,,
651406,accessory,4,1,1,,,,
651408,accessory,1,1,,,1,,
651408,accessory,2,1,,,1,,
651408,accessory,4,1,,,1,,
651409,accessory,1,1,,1,,,
651409,accessory,3,1,,1,,,
651409,accessory,4,1,,1,,,
651410,accessory,1,2,,1,2,2,
651411,accessory,4,2,2,1,2,,
651413,accessory,1,1,,1,,1,
651413,accessory,3,1,,1,,1,
651414,accessory,1,1,,1,,1,
651414,accessory,3,1,,1,,1,
651415,accessory,1,1,,,1,1,
651415,accessory,2,1,,,1,1,
651418,accessory,1,1,,1,,1,
651418,accessory,3,1,,1,,1,
651419,accessory,1,1,,,1,1,
651419,accessory,2,1,,,1,1,
651422,accessory,1,1,,1,,1,
651422,accessory,3,1,,1,,1,
651423,accessory,2,1,1,,1,,
651423,accessory,4,1,1,,1,,
651425,accessory,2,1,1,,1,,
651425,accessory,4,1,1,,1,,
651426,accessory,1,1,,,1,1,
651426,accessory,2,1,,,1,1,
651428,accessory,1,1,,1,,1,
651428,accessory,3,1,,1,,1,
651431,accessory,1,1,,1,,1,
651431,accessory,3,1,,1,,1,
651432,accessory,2,1,1,,1,,
651432,accessory,4,1,1,,1,,
651433,accessory,3,1,1,1,,,
651433,accessory,4,1,1,1,,,
651434,accessory,1,1,,1,,1,
651434,accessory,3,1,,1,,1,
651436,accessory,1,1,,,1,1,
651436,accessory,2,1,,,1,1,
651438,accessory,1,1,,1,,1,
651438,accessory,3,1,,1,,1,
651439,accessory,2,1,1,,,1,
651439,accessory,3,1,1,,,1,
651461,accessory,1,1,,1,,,
651461,accessory,3,1,,1,,,
651461,accessory,4,1,,1,,,
651465,accessory,1,1,,,,1,
651465,accessory,2,1,,,,1,
651465,accessory,3,1,,,,1,
651466,accessory,1,1,,,,1,
651466,accessory,2,1,,,,1,
651466,accessory,3,1,,,,1,
651468,core,2,2,1,,,1,
651468,core,3,2,1,,,1,
651469,accessory,4,2,1,1,2,,
651470,accessory,1,1,,,,1,
651470,accessory,2,1,,,,1,
651470,accessory,3,1,,,,1,
651471,accessory,2,1,1,,,1,
651471,accessory,3,1,1,,,1,
651473,accessory,1,1,,,,1,
651473,accessory,2,1,,,,1,
651473,accessory,3,1,,,,1,
651474,core,3,2,1,1,,1,
651475,core,2,2,1,,,1,
651475,core,3,2,1,,,1,
651476,core,2,2,1,,1,1,
651477,accessory,2,2,1,,,2,
651477,accessory,3,2,1,,,2,
651478,accessory,1,1,,,,1,
651478,accessory,2,1,,,,1,
651478,accessory,3,1,,,,1,
651479,accessory,1,1,,,,1,
651479,accessory,2,1,,,,1,
651479,accessory,3,1,,,,1,
651481,accessory,2,1,1,,1,,
651481,accessory,4,1,1,,1,,
651490,accessory,1,2,,,2,,
651490,accessory,2,2,,,2,,
651490,accessory,4,2,,,2,,
651491,accessory,3,1,1,1,,,
651491,accessory,4,1,1,1,,,
651494,accessory,2,1,1,,,1,
651494,accessory,3,1,1,,,1,
651500,accessory,1,1,,,1,,
651500,accessory,2,1,,,1,,
651500,accessory,4,1,,,1,,
651501,accessory,1,1,,1,,,
651501,accessory,3,1,,1,,,
651501,accessory,4,1,,1,,,
651505,accessory,1,1,,1,,1,
651505,accessory,3,1,,1,,1,
651509,accessory,1,1,,,1,,
651509,accessory,2,1,,,1,,
651509,accessory,4,1,,,1,,
651517,accessory,1,1,,1,,,
651517,accessory,3,1,,1,,,
651517,accessory,4,1,,1,,,
651535,accessory,1,1,,1,,1,
651535,accessory,3,1,,1,,1,
651536,accessory,1,1,,,1,,
651536,accessory,2,1,,,1,,
651536,accessory,4,1,,,1,,
651538,accessory,3,1,1,1,,,
651538,accessory,4,1,1,1,,,
651542,core,1,2,,,1,,
651542,core,2,2,,,1,,
651542,core,4,2,,,1,,
651559,core,4,3,1,1,1,,
651564,accessory,3,2,1,2,,1,
651567,accessory,1,1,,,1,,
651567,accessory,2,1,,,1,,
651567,accessory,4,1,,,1,,
651568,accessory,1,1,,,1,,
651568,accessory,2,1,,,1,,
651568,accessory,4,1,,,1,,
651571,accessory,3,2,2,1,,1,
651573,accessory,3,2,1,2,,2,
651575,accessory,1,1,,,,1,
651575,accessory,2,1,,,,1,
651575,accessory,3,1,,,,1,
651576,core,4,2,1,1,1,,
651582,accessory,1,1,,,,1,
651582,accessory,2,1,,,,1,
651582,accessory,3,1,,,,1,
651591,core,1,2,,1,1,1,
651594,accessory,1,1,,,1,1,
651594,accessory,2,1,,,1,1,
651607,accessory,1,1,,1,1,,
651607,accessory,4,1,,1,1,,
651609,accessory,1,1,,1,,,
651609,accessory,3,1,,1,,,
651609,accessory,4,1,,1,,,
651610,core,1,2,,1,1,,
651610,core,4,2,,1,1,,
651619,accessory,1,1,,1,1,,
651619,accessory,4,1,,1,1,,
651620,accessory,2,1,1,,,1,
651620,accessory,3,1,1,,,1,
651621,accessory,1,1,,,1,,
651621,accessory,2,1,,,1,,
651621,accessory,4,1,,,1,,
651622,accessory,1,1,,,1,,
651622,accessory,2,1,,,1,,
651622,accessory,4,1,,,1,,
651624,accessory,1,1,,,1,,
651624,accessory,2,1,,,1,,
651624,accessory,4,1,,,1,,
651633,accessory,1,1,,,1,,
651633,accessory,2,1,,,1,,
651633,accessory,4,1,,,1,,
651634,accessory,1,1,,1,1,,
651634,accessory,4,1,,1,1,,
651635,accessory,1,1,,1,1,,
651635,accessory,4,1,,1,1,,
651639,accessory,1,1,,,1,,
651639,accessory,2,1,,,1,,
651639,accessory,4,1,,,1,,
651662,accessory,1,1,,,1,,
651662,accessory,2,1,,,1,,
651662,accessory,4,1,,,1,,
651663,core,4,2,1,1,1,,
651665,core,2,2,1,,1,,
651665,core,4,2,1,,1,,
651666,core,4,2,1,1,1,,
651667,accessory,4,5,2,5,4,,
651668,accessory,3,5,3,5,,5,
651669,accessory,1,1,,,,1,
651669,accessory,2,1,,,,1,
651669,accessory,3,1,,,,1,
651672,accessory,1,1,,1,,,
651672,accessory,3,1,,1,,,
651672,accessory,4,1,,1,,,
651673,accessory,1,1,,1,1,,
651673,accessory,4,1,,1,1,,
651674,accessory,1,1,,1,,1,
651674,accessory,3,1,,1,,1,
651675,accessory,3,1,1,1,,,
651675,accessory,4,1,1,1,,,
651676,accessory,3,1,1,1,,,
651676,accessory,4,1,1,1,,,
651682,accessory,1,1,,,,1,
651682,accessory,2,1,,,,1,
651682,accessory,3,1,,,,1,
651683,accessory,4,2,2,1,2,,
651695,accessory,2,2,1,,2,,
651695,accessory,4,2,1,,2,,
651696,accessory,2,2,1,,2,,
651696,accessory,4,2,1,,2,,
651701,accessory,2,1,1,,1,,
651701,accessory,4,1,1,,1,,
651732,accessory,1,1,,1,,1,
651732,accessory,3,1,,1,,1,
651733,accessory,1,1,,,1,,
651733,accessory,2,1,,,1,,
651733,accessory,4,1,,,1,,
651736,accessory,1,1,,1,,,
651736,accessory,3,1,,1,,,
651736,accessory,4,1,,1,,,
651737,core,2,2,1,,,,
651737,core,3,2,1,,,,
651737,core,4,2,1,,,,
651747,accessory,1,1,,1,,1,
651747,accessory,3,1,,1,,1,
651748,accessory,1,1,,1,,1,
651748,accessory,3,1,,1,,1,
651750,accessory,1,2,,2,,1,
651750,accessory,3,2,,2,,1,
651751,accessory,2,1,1,,,,
651751,accessory,3,1,1,,,,
651751,accessory,4,1,1,,,,
651756,accessory,1,1,,1,,1,
651756,accessory,3,1,,1,,1,
651757,core,1,2,,1,1,,
651757,core,4,2,,1,1,,
651758,accessory,2,1,1,,1,,
651758,accessory,4,1,1,,1,,
651759,core,2,2,1,,1,1,
651779,core,2,2,1,,1,,
651779,core,4,2,1,,1,,
651780,accessory,1,1,,1,,1,
651780,accessory,3,1,,1,,1,
651785,accessory,1,1,,1,,1,
651785,accessory,3,1,,1,,1,
651800,accessory,1,1,,,1,1,
651800,accessory,2,1,,,1,1,
651806,accessory,1,1,,1,1,,
651806,accessory,4,1,,1,1,,
651819,core,2,2,1,,1,,
651819,core,4,2,1,,1,,
651834,accessory,1,1,,1,,1,
651834,accessory,3,1,,1,,1,
651835,core,3,2,1,1,,1,
651838,accessory,1,3,,,3,1,
651838,accessory,2,3,,,3,1,
651839,accessory,2,3,1,,3,2,
651845,core,1,2,,1,1,1,
651848,core,4,3,1,2,1,,
651849,accessory,3,1,1,1,,,
651849,accessory,4,1,1,1,,,
651850,accessory,2,1,1,,,1,
651850,accessory,3,1,1,,,1,
651851,accessory,1,1,,,1,1,
651851,accessory,2,1,,,1,1,
651855,accessory,1,1,,,,1,
651855,accessory,2,1,,,,1,
651855,accessory,3,1,,,,1,
651856,accessory,1,1,,1,1,,
651856,accessory,4,1,,1,1,,
651859,accessory,1,1,,,1,,
651859,accessory,2,1,,,1,,
651859,accessory,4,1,,,1,,
651864,accessory,4,9,1,1,9,,
651866,accessory,1,5,,,5,,
651866,accessory,2,5,,,5,,
651866,accessory,4,5,,,5,,
651867,accessory,1,3,,,3,,
651867,accessory,2,3,,,3,,
651867,accessory,4,3,,,3,,
651868,core,1,2,,,1,,
651868,core,2,2,,,1,,
651868,core,4,2,,,1,,
651869,core,1,2,,,1,,
651869,core,2,2,,,1,,
651869,core,4,2,,,1,,
651870,accessory,2,2,1,,2,1,
651871,accessory,1,1,,,1,1,
651871,accessory,2,1,,,1,1,
651872,accessory,1,1,,1,,1,
651872,accessory,3,1,,1,,1,
651879,core,1,2,,1,1,1,
651886,core,3,4,1,1,,3,
651887,accessory,1,3,,2,1,3,
651888,accessory,3,2,2,1,,1,
651891,accessory,1,1,,1,,,
651891,accessory,3,1,,1,,,
651891,accessory,4,1,,1,,,
651893,accessory,2,1,1,,1,,
651893,accessory,4,1,1,,1,,
651894,accessory,2,1,1,,,1,
651894,accessory,3,1,1,,,1,
651914,core,1,2,,1,1,1,
651916,accessory,1,1,,,1,,
651916,accessory,2,1,,,1,,
651916,accessory,4,1,,,1,,
651918,accessory,3,1,1,1,,,
651918,accessory,4,1,1,1,,,
651919,accessory,3,1,1,1,,,
651919,accessory,4,1,1,1,,,
651928,accessory,2,2,1,,2,2,
651929,accessory,1,1,,1,,,
651929,accessory,3,1,,1,,,
651929,accessory,4,1,,1,,,
651930,accessory,2,1,1,,1,,
651930,accessory,4,1,1,,1,,
651936,core,3,4,2,2,,2,
651937,accessory,4,3,2,2,3,,
651939,accessory,2,2,1,,2,2,
651940,accessory,1,2,,2,2,1,
651941,accessory,1,1,,1,1,,
651941,accessory,4,1,,1,1,,
651942,accessory,2,1,1,,,1,
651942,accessory,3,1,1,,,1,
651943,accessory,1,1,,1,1,,
651943,accessory,4,1,,1,1,,
651950,accessory,1,5,,5,1,2,
651951,accessory,1,1,,1,,,
