Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
11_1_BroT12.C09g56470.1,42.49,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,42.49,31.91,42.49,42.05,42.05,100,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,42.49,42.05,42.05,42.49,42.05,42.05,40.80,42.05
11_1_BroT12.C09g56490.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,100,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
9_1_BroT24.C09g53620.1,38.68,38.32,37.79,38.50,38.32,38.14,38.32,24.55,38.32,38.68,29.71,38.68,38.32,38.32,38.68,38.32,100,38.32,38.32,38.32,25.15,38.32,25.47,38.68,38.32,38.32,38.68,38.32,38.32,38.68,38.32
12_1_BroT10.C09g56270.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,100,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
9_1_BroT24.C09g53630.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,100,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
9_1_BroT24.C09g53600.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,100,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
3_1_rna-XM_013756814.1,25.47,25.47,25.23,25.47,25.47,25.39,25.47,22.34,25.47,25.47,25.15,25.47,25.47,25.47,25.47,25.47,25.15,25.47,25.47,25.47,100,25.47,25.15,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47
3_1_rna-XM_013756817.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,100,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,42.05
1_1_BolK_9g63770.2,25.79,25.79,25.55,25.79,25.79,25.71,25.79,22.71,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.47,25.79,25.79,25.79,25.15,25.79,100,25.79,25.79,25.79,25.79,25.79,25.79,25.79,25.79
1_1_BolK_9g63780.1,42.49,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,42.49,31.91,42.49,42.05,42.05,42.49,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,100,42.05,42.05,42.49,42.05,42.05,40.80,42.05
1_1_BolK_9g63790.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,100,42.05,42.05,42.05,42.05,40.39,42.05
13_1_BroT08.C09g55720.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,100,42.05,42.05,42.05,40.39,42.05
13_1_BroT08.C09g55740.1,42.49,42.05,41.41,42.27,42.05,41.84,42.05,24.62,42.05,42.49,31.91,42.49,42.05,42.05,42.49,42.05,38.68,42.05,42.05,42.05,25.47,42.05,25.79,42.49,42.05,42.05,100,42.05,42.05,40.80,42.05
13_1_BroT08.C09g55760.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,100,42.05,40.39,42.05
4_1_bro9G06414.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,100,40.39,42.05
14_1_BroT17.C09g58390.1,40.80,40.39,39.81,40.59,40.39,40.20,40.39,24.62,40.39,40.80,30.94,40.80,40.39,40.39,40.80,40.39,38.68,40.39,40.39,40.39,25.47,40.39,25.79,40.80,40.39,40.39,40.80,40.39,40.39,100,40.39
14_1_BroT17.C09g58400.1,42.05,42.05,41.41,41.84,42.05,41.84,42.05,24.62,42.05,42.05,31.91,42.05,42.05,42.05,42.05,42.05,38.32,42.05,42.05,42.05,25.47,42.05,25.79,42.05,42.05,42.05,42.05,42.05,42.05,40.39,100
