Sequences,7_1_BroT13.C09g55490.1,7_1_BroT13.C09g55450.1,15_1_BroT21.C09g54420.1,7_1_BroT13.C09g55480.1,8_1_BroT06.C09g54360.1,2_1_AT5G10140.1,12_1_BroT10.C09g56240.1,12_1_BroT10.C09g56260.1,15_1_BroT21.C09g54460.1,15_1_BroT21.C09g54450.1,16_1_BolO_9g65570.2,16_1_BolO_9g65590.1,16_1_BolO_9g65600.1,11_1_BroT12.C09g56450.1,11_1_BroT12.C09g56470.1,11_1_BroT12.C09g56490.1,9_1_BroT24.C09g53620.1,12_1_BroT10.C09g56270.1,9_1_BroT24.C09g53630.1,9_1_BroT24.C09g53600.1,3_1_rna-XM_013756814.1,3_1_rna-XM_013756817.1,1_1_BolK_9g63770.2,1_1_BolK_9g63780.1,1_1_BolK_9g63790.1,13_1_BroT08.C09g55720.1,13_1_BroT08.C09g55740.1,13_1_BroT08.C09g55760.1,4_1_bro9G06414.1,14_1_BroT17.C09g58390.1,14_1_BroT17.C09g58400.1
16_1_BolO_9g65570.2,71.60,73.54,50.00,71.60,72.37,62.40,72.37,55.81,72.76,71.21,100,71.60,72.37,73.54,71.60,72.76,66.67,72.37,72.76,73.54,74.23,72.37,78.93,71.60,72.76,73.54,71.60,72.76,73.54,69.06,66.93
16_1_BolO_9g65590.1,100.00,96.41,65.66,97.42,97.95,83.16,95.90,56.46,98.46,97.93,71.60,100,97.95,96.41,100.00,98.46,89.15,97.95,98.46,96.41,57.14,97.95,58.18,100.00,98.46,96.41,100.00,98.46,96.41,93.53,90.77
16_1_BolO_9g65600.1,97.95,97.44,66.67,96.43,98.97,84.18,96.92,57.06,99.49,95.90,72.37,97.95,100,97.44,97.95,99.49,87.38,98.97,99.49,97.44,57.76,98.97,58.81,97.95,99.49,97.44,97.95,99.49,97.44,91.63,91.79
11_1_BroT12.C09g56450.1,96.41,100.00,68.69,94.90,97.44,84.18,97.44,56.16,97.95,94.36,73.54,96.41,97.44,100,96.41,97.95,85.98,97.44,97.95,100.00,58.07,97.44,60.38,96.41,97.95,100.00,96.41,97.95,100.00,90.15,90.26
11_1_BroT12.C09g56470.1,100.00,96.41,65.66,97.42,97.95,83.16,95.90,56.46,98.46,97.93,71.60,100.00,97.95,96.41,100,98.46,89.15,97.95,98.46,96.41,57.14,97.95,58.18,100.00,98.46,96.41,100.00,98.46,96.41,93.53,90.77
11_1_BroT12.C09g56490.1,98.46,97.95,67.17,96.94,99.49,84.69,97.44,57.36,100.00,96.41,72.76,98.46,99.49,97.95,98.46,100,87.85,99.49,100.00,97.95,58.07,99.49,59.12,98.46,100.00,97.95,98.46,100.00,97.95,92.12,92.31
9_1_BroT24.C09g53620.1,89.15,85.98,58.06,89.20,87.38,73.95,85.51,59.28,87.85,88.68,66.67,89.15,87.38,85.98,89.15,87.85,100,87.38,87.85,85.98,57.67,87.38,58.70,89.15,87.85,85.98,89.15,87.85,85.98,91.04,80.84
12_1_BroT10.C09g56270.1,97.95,97.44,66.67,96.43,100.00,84.69,96.92,57.06,99.49,95.90,72.37,97.95,98.97,97.44,97.95,99.49,87.38,100,99.49,97.44,57.76,100.00,58.81,97.95,99.49,97.44,97.95,99.49,97.44,91.63,91.79
9_1_BroT24.C09g53630.1,98.46,97.95,67.17,96.94,99.49,84.69,97.44,57.36,100.00,96.41,72.76,98.46,99.49,97.95,98.46,100.00,87.85,99.49,100,97.95,58.07,99.49,59.12,98.46,100.00,97.95,98.46,100.00,97.95,92.12,92.31
9_1_BroT24.C09g53600.1,96.41,100.00,68.69,94.90,97.44,84.18,97.44,56.16,97.95,94.36,73.54,96.41,97.44,100.00,96.41,97.95,85.98,97.44,97.95,100,58.07,97.44,60.38,96.41,97.95,100.00,96.41,97.95,100.00,90.15,90.26
3_1_rna-XM_013756814.1,57.14,58.07,40.00,57.45,57.76,50.77,59.63,57.77,58.07,56.52,74.23,57.14,57.76,58.07,57.14,58.07,57.67,57.76,58.07,58.07,100,57.76,93.87,57.14,58.07,58.07,57.14,58.07,58.07,58.07,53.42
3_1_rna-XM_013756817.1,97.95,97.44,66.67,96.43,100.00,84.69,96.92,57.06,99.49,95.90,72.37,97.95,98.97,97.44,97.95,99.49,87.38,100.00,99.49,97.44,57.76,100,58.81,97.95,99.49,97.44,97.95,99.49,97.44,91.63,91.79
1_1_BolK_9g63770.2,58.18,60.38,41.43,58.49,58.81,50.78,58.81,59.28,59.12,57.55,78.93,58.18,58.81,60.38,58.18,59.12,58.70,58.81,59.12,60.38,93.87,58.81,100,58.18,59.12,60.38,58.18,59.12,60.38,58.81,54.40
1_1_BolK_9g63780.1,100.00,96.41,65.66,97.42,97.95,83.16,95.90,56.46,98.46,97.93,71.60,100.00,97.95,96.41,100.00,98.46,89.15,97.95,98.46,96.41,57.14,97.95,58.18,100,98.46,96.41,100.00,98.46,96.41,93.53,90.77
1_1_BolK_9g63790.1,98.46,97.95,67.17,96.94,99.49,84.69,97.44,57.36,100.00,96.41,72.76,98.46,99.49,97.95,98.46,100.00,87.85,99.49,100.00,97.95,58.07,99.49,59.12,98.46,100,97.95,98.46,100.00,97.95,92.12,92.31
13_1_BroT08.C09g55720.1,96.41,100.00,68.69,94.90,97.44,84.18,97.44,56.16,97.95,94.36,73.54,96.41,97.44,100.00,96.41,97.95,85.98,97.44,97.95,100.00,58.07,97.44,60.38,96.41,97.95,100,96.41,97.95,100.00,90.15,90.26
13_1_BroT08.C09g55740.1,100.00,96.41,65.66,97.42,97.95,83.16,95.90,56.46,98.46,97.93,71.60,100.00,97.95,96.41,100.00,98.46,89.15,97.95,98.46,96.41,57.14,97.95,58.18,100.00,98.46,96.41,100,98.46,96.41,93.53,90.77
13_1_BroT08.C09g55760.1,98.46,97.95,67.17,96.94,99.49,84.69,97.44,57.36,100.00,96.41,72.76,98.46,99.49,97.95,98.46,100.00,87.85,99.49,100.00,97.95,58.07,99.49,59.12,98.46,100.00,97.95,98.46,100,97.95,92.12,92.31
4_1_bro9G06414.1,96.41,100.00,68.69,94.90,97.44,84.18,97.44,56.16,97.95,94.36,73.54,96.41,97.44,100.00,96.41,97.95,85.98,97.44,97.95,100.00,58.07,97.44,60.38,96.41,97.95,100.00,96.41,97.95,100,90.15,90.26
14_1_BroT17.C09g58390.1,93.53,90.15,60.68,92.57,91.63,77.45,89.66,58.26,92.12,93.53,69.06,93.53,91.63,90.15,93.53,92.12,91.04,91.63,92.12,90.15,58.07,91.63,58.81,93.53,92.12,90.15,93.53,92.12,90.15,100,84.73
14_1_BroT17.C09g58400.1,90.77,90.26,59.60,89.29,91.79,77.04,89.74,52.85,92.31,88.72,66.93,90.77,91.79,90.26,90.77,92.31,80.84,91.79,92.31,90.26,53.42,91.79,54.40,90.77,92.31,90.26,90.77,92.31,90.26,84.73,100
