#BLASTP
#Strictness for accepting hits was >= 25% sequence identity with >= 65% alignment length of input sequence length
#query	subject	identity	length	mismatches	gaps	alignment start query	alignment end query	alignment start subject	alignment end subject	evalue	bitscore	PASS minimum identity	PASS minimum alignment length	genome	sequence (number)	original sequence name	start coordinate	end coordinate	mRNA length (bp)	protein length (aa)	mRNA identifier	mRNA name	mRNA node identifier	homology group node identifier	gene identifier	gene name	gene node identifier

##sequence 1,>NP_001320342.1 FT [organism=Arabidopsis thaliana] [GeneID=842859], 219 length
NP_001320342.1	BroT07.C02g20930.1_genome_4	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	4	8	GWHDTYA00000008	17134088	17135844	1757	175	BroT07.C02g20930.1	-	79161754	0	BroT07.C02g20930	-	79161753
NP_001320342.1	BroT02.C02g20350.1_genome_3	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	3	1	GWHDTWX00000001	16651424	16653666	2243	175	BroT02.C02g20350.1	-	78123215	0	BroT02.C02g20350	-	78123214
NP_001320342.1	bro2G02250.1_genome_2	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	2	4	GWHBKLA00000004	18391904	18393660	1757	175	bro2G02250.1	-	77689657	0	bro2G02250	-	77689656
NP_001320342.1	rna-XM_013764059.1_genome_1	86.207	174	24	0	45	218	1	174	4.67e-111	318	PASS	PASS	1	2	NC_027749.1	14745548	14747543	1996	175	rna-XM_013764059.1	XM_013764059.1	76786397	0	gene-LOC106326016	LOC106326016	76786396
NP_001320342.1	BroT22.C06g31900.1_genome_15	82.184	174	31	0	45	218	1	174	1.42e-107	310	PASS	PASS	15	5	C06	41324587	41326867	2281	175	BroT22.C06g31900.1	-	85965024	0	BroT22.C06g31900	-	85965023
NP_001320342.1	BroT21.C06g31770.1_genome_13	82.184	174	31	0	45	218	1	174	1.42e-107	310	PASS	PASS	13	6	GWHDUBS00000006	37174818	37177097	2280	175	BroT21.C06g31770.1	-	84654449	0	BroT21.C06g31770	-	84654448
NP_001320342.1	BroT17.C06g34930.1_genome_12	82.184	174	31	0	45	218	1	174	1.42e-107	310	PASS	PASS	12	19	GWHDUBP00000019	44191643	44193921	2279	175	BroT17.C06g34930.1	-	83954994	0	BroT17.C06g34930	-	83954993
NP_001320342.1	BroT19.C06g32270.1_genome_8	82.184	174	31	0	45	218	1	174	1.42e-107	310	PASS	PASS	8	8	GWHDTYL00000008	41811095	41813376	2282	175	BroT19.C06g32270.1	-	81676190	0	BroT19.C06g32270	-	81676189
NP_001320342.1	rna-XM_013735380.1_genome_1	82.184	174	31	0	45	218	1	174	1.42e-107	310	PASS	PASS	1	6	NC_027753.1	31563981	31566539	2559	175	rna-XM_013735380.1	XM_013735380.1	77112298	0	gene-LOC106299261	LOC106299261	77112297
NP_001320342.1	BolO_6g39230.1_genome_14	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	14	5	C06	40000458	40003002	2545	175	BolO_6g39230.1	-	85352448	0	BolO_6g39230	-	85352447
NP_001320342.1	BroT08.C06g32910.1_genome_11	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	11	9	GWHDUBL00000009	43071300	43073594	2295	175	BroT08.C06g32910.1	-	83608841	0	BroT08.C06g32910	-	83608840
NP_001320342.1	BroT10.C06g32140.1_genome_10	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	10	5	GWHDUBI00000005	41163745	41166026	2282	175	BroT10.C06g32140.1	-	82690002	0	BroT10.C06g32140	-	82690001
NP_001320342.1	BroT24.C06g31250.1_genome_7	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	7	6	GWHDTYK00000006	37965936	37968230	2295	175	BroT24.C06g31250.1	-	80925087	0	BroT24.C06g31250	-	80925086
NP_001320342.1	BroT06.C06g31270.1_genome_6	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	6	6	GWHDTYJ00000006	39679153	39681447	2295	175	BroT06.C06g31270.1	-	80333496	0	BroT06.C06g31270	-	80333495
NP_001320342.1	BroT07.C06g32480.1_genome_4	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	4	4	GWHDTYA00000004	38225076	38227369	2294	175	BroT07.C06g32480.1	-	78961480	0	BroT07.C06g32480	-	78961479
NP_001320342.1	BroT02.C06g32100.1_genome_3	81.609	174	32	0	45	218	1	174	2.36e-107	309	PASS	PASS	3	3	GWHDTWX00000003	40332870	40335164	2295	175	BroT02.C06g32100.1	-	78265295	0	BroT02.C06g32100	-	78265294
NP_001320342.1	BroT12.C06g33200.1_genome_9	81.609	174	32	0	45	218	1	174	2.97e-107	309	PASS	PASS	9	7	GWHDUBH00000007	38020677	38022962	2286	175	BroT12.C06g33200.1	-	82228195	0	BroT12.C06g33200	-	82228194
NP_001320342.1	BroT13.C06g31830.1_genome_5	81.609	174	32	0	45	218	1	174	2.97e-107	309	PASS	PASS	5	4	GWHDTYE00000004	40926052	40928352	2301	175	BroT13.C06g31830.1	-	79579975	0	BroT13.C06g31830	-	79579974
NP_001320342.1	bro6G03698.1_genome_2	81.609	174	32	0	45	218	1	174	2.97e-107	309	PASS	PASS	2	9	GWHBKLA00000009	38873452	38876027	2576	175	bro6G03698.1	-	78075141	0	bro6G03698	-	78075140
NP_001320342.1	BroT08.C04g17710.1_genome_11	82.184	174	31	0	45	218	1	174	1.95e-105	304	PASS	PASS	11	3	GWHDUBL00000003	16555033	16557883	2851	175	BroT08.C04g17710.1	-	83181773	0	BroT08.C04g17710	-	83181772
NP_001320342.1	BroT17.C04g18890.1_genome_12	82.184	174	31	0	45	218	1	174	2.83e-105	304	PASS	PASS	12	17	GWHDUBP00000017	18425824	18428731	2908	175	BroT17.C04g18890.1	-	83796018	0	BroT17.C04g18890	-	83796017
NP_001320342.1	BroT19.C04g18030.1_genome_8	81.609	174	32	0	45	218	1	174	6.44e-104	300	PASS	PASS	8	3	GWHDTYL00000003	16620257	16623167	2911	175	BroT19.C04g18030.1	-	81286570	0	BroT19.C04g18030	-	81286569
NP_001320342.1	rna-XM_013779880.1_genome_1	81.609	174	32	0	45	218	1	174	6.44e-104	300	PASS	PASS	1	4	NC_027751.1	13595616	13598533	2918	175	rna-XM_013779880.1	XM_013779880.1	76950980	0	gene-LOC106341063	LOC106341063	76950979
NP_001320342.1	BroT12.C04g17930.1_genome_9	75.287	174	43	0	45	218	1	174	2.49e-94	276	PASS	PASS	9	9	GWHDUBH00000009	16709571	16712456	2886	175	BroT12.C04g17930.1	-	82333475	0	BroT12.C04g17930	-	82333474
NP_001320342.1	bro4G01940.1_genome_2	76.437	174	32	1	45	218	1	165	1.53e-93	274	PASS	PASS	2	3	GWHBKLA00000003	15116471	15119356	2886	166	bro4G01940.1	-	77601334	0	bro4G01940	-	77601333
NP_001320342.1	BroT17.C02g31290.1_genome_12	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	12	23	GWHDUBP00000023	30991444	30993166	1723	202	BroT17.C02g31290.1	-	84168932	0	BroT17.C02g31290	-	84168931
NP_001320342.1	BroT08.C02g30480.1_genome_11	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	11	8	GWHDUBL00000008	29229759	29231481	1723	202	BroT08.C02g30480.1	-	83540843	0	BroT08.C02g30480	-	83540842
NP_001320342.1	BroT12.C02g30210.1_genome_9	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	9	4	GWHDUBH00000004	28748407	28750129	1723	202	BroT12.C02g30210.1	-	82023403	0	BroT12.C02g30210	-	82023402
NP_001320342.1	BroT19.C02g30380.1_genome_8	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	8	2	GWHDTYL00000002	28764220	28765942	1723	202	BroT19.C02g30380.1	-	81236372	0	BroT19.C02g30380	-	81236371
NP_001320342.1	BroT06.C02g29650.1_genome_6	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	6	2	GWHDTYJ00000002	29802993	29804715	1723	202	BroT06.C02g29650.1	-	80048894	0	BroT06.C02g29650	-	80048893
NP_001320342.1	BroT13.C02g30630.1_genome_5	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	5	8	GWHDTYE00000008	30353559	30355281	1723	202	BroT13.C02g30630.1	-	79788359	0	BroT13.C02g30630	-	79788358
NP_001320342.1	BroT07.C02g30700.1_genome_4	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	4	8	GWHDTYA00000008	29473705	29475427	1723	202	BroT07.C02g30700.1	-	79171918	0	BroT07.C02g30700	-	79171917
NP_001320342.1	BroT02.C02g30340.1_genome_3	66.169	201	41	1	45	218	1	201	1.40e-89	265	PASS	PASS	3	1	GWHDTWX00000001	28713164	28714886	1723	202	BroT02.C02g30340.1	-	78133749	0	BroT02.C02g30340	-	78133748
NP_001320342.1	BolO_4g19990.1_genome_14	73.563	174	27	1	45	218	1	155	6.29e-89	262	PASS	PASS	14	4	C04	16054841	16057727	2887	156	BolO_4g19990.1	-	85179479	0	BolO_4g19990	-	85179478
NP_001320342.1	BroT13.C04g17710.1_genome_5	73.563	174	27	1	45	218	1	155	6.29e-89	262	PASS	PASS	5	2	GWHDTYE00000002	16853332	16856217	2886	156	BroT13.C04g17710.1	-	79428531	0	BroT13.C04g17710	-	79428530
NP_001320342.1	BroT02.C04g17710.1_genome_3	73.563	174	27	1	45	218	1	155	6.29e-89	262	PASS	PASS	3	5	GWHDTWX00000005	16542147	16545033	2887	156	BroT02.C04g17710.1	-	78363909	0	BroT02.C04g17710	-	78363908
NP_001320342.1	BroT12.C06g43660.1_genome_9	82.443	131	23	0	79	209	3	133	1.52e-79	237	PASS	FAIL	9	
NP_001320342.1	rna-XM_013759265.1_genome_1	57.798	218	48	4	45	218	1	218	3.37e-76	232	PASS	PASS	1	285	NW_013617690.1	21249	23439	2191	219	rna-XM_013759265.1	XM_013759265.1	77360184	0	gene-LOC106320922	LOC106320922	77360183
NP_001320342.1	BroT22.C06g42150.1_genome_15	78.667	150	30	1	45	194	1	148	9.26e-75	226	PASS	PASS	15	5	C06	48883168	48885212	2045	148	BroT22.C06g42150.1	-	85976496	0	BroT22.C06g42150	-	85976495
NP_001320342.1	BroT21.C06g41960.1_genome_13	78.667	150	30	1	45	194	1	148	9.26e-75	226	PASS	PASS	13	6	GWHDUBS00000006	44707656	44709700	2045	148	BroT21.C06g41960.1	-	84666263	0	BroT21.C06g41960	-	84666262
NP_001320342.1	BroT24.C06g41250.1_genome_7	78.667	150	30	1	45	194	1	148	9.26e-75	226	PASS	PASS	7	6	GWHDTYK00000006	45523998	45526042	2045	148	BroT24.C06g41250.1	-	80936561	0	BroT24.C06g41250	-	80936560
NP_001320342.1	BroT13.C06g42140.1_genome_5	78.667	150	30	1	45	194	1	148	9.26e-75	226	PASS	PASS	5	4	GWHDTYE00000004	48928970	48931014	2045	148	BroT13.C06g42140.1	-	79591695	0	BroT13.C06g42140	-	79591694
NP_001320342.1	rna-XM_013737271.1_genome_1	78.667	150	30	1	45	194	1	148	9.26e-75	226	PASS	PASS	1	6	NC_027753.1	38244435	38246725	2291	148	rna-XM_013737271.1	XM_013737271.1	77125778	0	gene-LOC106300973	LOC106300973	77125777
NP_001320342.1	BroT06.C06g41380.1_genome_6	77.564	156	30	1	45	200	1	151	2.11e-74	226	PASS	PASS	6	6	GWHDTYJ00000006	47628362	47630107	1746	179	BroT06.C06g41380.1	-	80344938	0	BroT06.C06g41380	-	80344937
NP_001320342.1	BroT02.C06g42390.1_genome_3	77.564	156	30	1	45	200	1	151	4.58e-73	227	PASS	PASS	3	3	GWHDTWX00000003	47944561	47948401	3841	322	BroT02.C06g42390.1	-	78277295	0	BroT02.C06g42390	-	78277294
NP_001320342.1	BroT17.C03g57120.1_genome_12	59.770	174	67	3	42	213	28	200	2.45e-70	216	PASS	PASS	12	22	GWHDUBP00000022	44300861	44301798	938	207	BroT17.C03g57120.1	-	84103364	0	BroT17.C03g57120	-	84103363
NP_001320342.1	BroT12.C03g58130.1_genome_9	59.770	174	67	3	42	213	28	200	2.45e-70	216	PASS	PASS	9	3	GWHDUBH00000003	43933817	43934754	938	207	BroT12.C03g58130.1	-	81960727	0	BroT12.C03g58130	-	81960726
NP_001320342.1	BolO_3g62510.1_genome_14	59.770	174	67	3	42	213	28	200	2.79e-70	216	PASS	PASS	14	3	C03	41523889	41524830	942	207	BolO_3g62510.1	-	85122971	0	BolO_3g62510	-	85122970
NP_001320342.1	BroT19.C03g57080.1_genome_8	59.770	174	67	3	42	213	28	200	2.79e-70	216	PASS	PASS	8	6	GWHDTYL00000006	43500886	43501823	938	207	BroT19.C03g57080.1	-	81540686	0	BroT19.C03g57080	-	81540685
NP_001320342.1	BroT13.C03g56640.1_genome_5	59.770	174	67	3	42	213	28	200	2.79e-70	216	PASS	PASS	5	7	GWHDTYE00000007	43294705	43295646	942	207	BroT13.C03g56640.1	-	79725571	0	BroT13.C03g56640	-	79725570
NP_001320342.1	bro3G02626.1_genome_2	59.770	174	67	3	42	213	28	200	2.79e-70	216	PASS	PASS	2	6	GWHBKLA00000006	22107705	22108736	1032	207	bro3G02626.1	-	77847618	0	bro3G02626	-	77847617
NP_001320342.1	BroT22.C03g57330.1_genome_15	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	15	3	C03	43453356	43454207	852	177	BroT22.C03g57330.1	-	85784974	0	BroT22.C03g57330	-	85784973
NP_001320342.1	BroT21.C03g55540.1_genome_13	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	13	3	GWHDUBS00000003	43102357	43103208	852	177	BroT21.C03g55540.1	-	84462993	0	BroT21.C03g55540	-	84462992
NP_001320342.1	BroT08.C03g56580.1_genome_11	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	11	1	GWHDUBL00000001	42937747	42938598	852	177	BroT08.C03g56580.1	-	83070761	0	BroT08.C03g56580	-	83070760
NP_001320342.1	BroT10.C03g57710.1_genome_10	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	10	9	GWHDUBI00000009	43115475	43116326	852	177	BroT10.C03g57710.1	-	82974540	0	BroT10.C03g57710	-	82974539
NP_001320342.1	BroT24.C03g55230.1_genome_7	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	7	3	GWHDTYK00000003	42694084	42694935	852	177	BroT24.C03g55230.1	-	80731541	0	BroT24.C03g55230	-	80731540
NP_001320342.1	BroT06.C03g55130.1_genome_6	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	6	3	GWHDTYJ00000003	43070229	43071080	852	177	BroT06.C03g55130.1	-	80141106	0	BroT06.C03g55130	-	80141105
NP_001320342.1	BroT07.C03g57510.1_genome_4	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	4	7	GWHDTYA00000007	43697156	43698007	852	177	BroT07.C03g57510.1	-	79108716	0	BroT07.C03g57510	-	79108715
NP_001320342.1	BroT02.C03g56960.1_genome_3	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	3	8	GWHDTWX00000008	43369831	43370682	852	177	BroT02.C03g56960.1	-	78625729	0	BroT02.C03g56960	-	78625728
NP_001320342.1	rna-XM_013766399.1_genome_1	60.000	165	64	2	51	213	6	170	1.77e-69	213	PASS	PASS	1	3	NC_027750.1	38559226	38560306	1081	177	rna-XM_013766399.1	XM_013766399.1	76899721	0	gene-LOC106328043	LOC106328043	76899720
NP_001320342.1	BolO_4g22930.1_genome_14	59.394	165	65	2	51	214	7	170	1.53e-66	206	PASS	PASS	14	4	C04	18940247	18941787	1541	173	BolO_4g22930.1	-	85182508	0	BolO_4g22930	-	85182507
NP_001320342.1	BroT10.C04g20390.1_genome_10	59.394	165	65	2	51	214	7	170	1.53e-66	206	PASS	PASS	10	6	GWHDUBI00000006	19464699	19466239	1541	173	BroT10.C04g20390.1	-	82729454	0	BroT10.C04g20390	-	82729453
NP_001320342.1	BroT22.C03g01540.1_genome_15	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	15	3	C03	758018	759072	1055	174	BroT22.C03g01540.1	-	85719798	0	BroT22.C03g01540	-	85719797
NP_001320342.1	BroT21.C03g01570.1_genome_13	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	13	3	GWHDUBS00000003	774501	775555	1055	174	BroT21.C03g01570.1	-	84397047	0	BroT21.C03g01570	-	84397046
NP_001320342.1	BroT08.C03g01570.1_genome_11	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	11	1	GWHDUBL00000001	772304	773359	1056	174	BroT08.C03g01570.1	-	83004313	0	BroT08.C03g01570	-	83004312
NP_001320342.1	BroT10.C03g02090.1_genome_10	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	10	9	GWHDUBI00000009	1035296	1036350	1055	174	BroT10.C03g02090.1	-	82907492	0	BroT10.C03g02090	-	82907491
NP_001320342.1	BroT12.C03g01590.1_genome_9	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	9	3	GWHDUBH00000003	779474	780528	1055	174	BroT12.C03g01590.1	-	81892733	0	BroT12.C03g01590	-	81892732
NP_001320342.1	BroT19.C03g01650.1_genome_8	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	8	6	GWHDTYL00000006	813865	814920	1056	174	BroT19.C03g01650.1	-	81473278	0	BroT19.C03g01650	-	81473277
NP_001320342.1	BroT24.C03g01560.1_genome_7	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	7	3	GWHDTYK00000003	799392	800446	1055	174	BroT24.C03g01560.1	-	80667347	0	BroT24.C03g01560	-	80667346
NP_001320342.1	BroT06.C03g01560.1_genome_6	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	6	3	GWHDTYJ00000003	812780	813834	1055	174	BroT06.C03g01560.1	-	80077308	0	BroT06.C03g01560	-	80077307
NP_001320342.1	BroT13.C03g01620.1_genome_5	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	5	7	GWHDTYE00000007	785778	786832	1055	174	BroT13.C03g01620.1	-	79658773	0	BroT13.C03g01620	-	79658772
NP_001320342.1	BroT07.C03g01650.1_genome_4	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	4	7	GWHDTYA00000007	816564	817619	1056	174	BroT07.C03g01650.1	-	79041690	0	BroT07.C03g01650	-	79041689
NP_001320342.1	BroT02.C03g01660.1_genome_3	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	3	8	GWHDTWX00000008	825463	826517	1055	174	BroT02.C03g01660.1	-	78558987	0	BroT02.C03g01660	-	78558986
NP_001320342.1	bro5G09597.1_genome_2	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	2	1	GWHBKLA00000001	78235761	78236815	1055	174	bro5G09597.1	-	77486825	0	bro5G09597	-	77486824
NP_001320342.1	rna-XM_013758997.1_genome_1	56.571	175	73	2	45	217	1	174	2.89e-66	205	PASS	PASS	1	163	NW_013617568.1	25417	26664	1248	174	rna-XM_013758997.1	XM_013758997.1	77357268	0	gene-LOC106320618	LOC106320618	77357267
NP_001320342.1	BroT17.C03g01560.1_genome_12	56.571	175	73	2	45	217	4	177	3.22e-66	205	PASS	PASS	12	22	GWHDUBP00000022	753134	754200	1067	177	BroT17.C03g01560.1	-	84036454	0	BroT17.C03g01560	-	84036453
NP_001320342.1	BroT13.C02g01450.1_genome_5	55.682	176	75	1	45	217	4	179	1.24e-65	203	PASS	PASS	5	8	GWHDTYE00000008	1038840	1039957	1118	179	BroT13.C02g01450.1	-	79754793	0	BroT13.C02g01450	-	79754792
NP_001320342.1	BroT07.C02g01620.1_genome_4	55.682	176	75	1	45	217	4	179	1.24e-65	203	PASS	PASS	4	8	GWHDTYA00000008	1267691	1268808	1118	179	BroT07.C02g01620.1	-	79138868	0	BroT07.C02g01620	-	79138867
NP_001320342.1	BroT12.C02g01330.1_genome_9	55.932	177	73	2	45	217	4	179	3.05e-65	202	PASS	PASS	9	4	GWHDUBH00000004	912791	913869	1079	179	BroT12.C02g01330.1	-	81990365	0	BroT12.C02g01330	-	81990364
NP_001320342.1	BroT02.C02g01070.1_genome_3	55.932	177	73	2	45	217	4	179	3.05e-65	202	PASS	PASS	3	1	GWHDTWX00000001	805674	806752	1079	179	BroT02.C02g01070.1	-	78099939	0	BroT02.C02g01070	-	78099938
NP_001320342.1	bro2G00144.1_genome_2	55.932	177	73	2	45	217	4	179	3.05e-65	202	PASS	PASS	2	4	GWHBKLA00000004	2079995	2081073	1079	179	bro2G00144.1	-	77662715	0	bro2G00144	-	77662714
NP_001320342.1	BroT17.C04g21060.1_genome_12	57.988	169	69	2	51	217	7	175	4.42e-65	202	PASS	PASS	12	17	GWHDUBP00000017	21448397	21449943	1547	175	BroT17.C04g21060.1	-	83798364	0	BroT17.C04g21060	-	83798363
NP_001320342.1	BroT24.C04g19210.1_genome_7	57.988	169	69	2	51	217	7	175	4.42e-65	202	PASS	PASS	7	4	GWHDTYK00000004	18675324	18676871	1548	175	BroT24.C04g19210.1	-	80779027	0	BroT24.C04g19210	-	80779026
NP_001320342.1	BroT13.C04g19900.1_genome_5	57.988	169	69	2	51	217	7	175	4.42e-65	202	PASS	PASS	5	2	GWHDTYE00000002	19809407	19810954	1548	175	BroT13.C04g19900.1	-	79430921	0	BroT13.C04g19900	-	79430920
NP_001320342.1	BroT07.C04g19880.1_genome_4	57.988	169	69	2	51	217	7	175	4.42e-65	202	PASS	PASS	4	2	GWHDTYA00000002	19391781	19393328	1548	175	BroT07.C04g19880.1	-	78812256	0	BroT07.C04g19880	-	78812255
NP_001320342.1	bro4G02198.1_genome_2	57.988	169	69	2	51	217	7	175	4.42e-65	202	PASS	PASS	2	3	GWHBKLA00000003	17896638	17898185	1548	175	bro4G02198.1	-	77604369	0	bro4G02198	-	77604368
NP_001320342.1	BroT21.C04g16110.1_genome_13	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	13	4	GWHDUBS00000004	15949870	15951412	1543	175	BroT21.C04g16110.1	-	84508225	0	BroT21.C04g16110	-	84508224
NP_001320342.1	BroT08.C04g20040.1_genome_11	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	11	3	GWHDUBL00000003	19382377	19383919	1543	175	BroT08.C04g20040.1	-	83184297	0	BroT08.C04g20040	-	83184296
NP_001320342.1	BroT12.C04g20430.1_genome_9	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	9	9	GWHDUBH00000009	19746181	19747723	1543	175	BroT12.C04g20430.1	-	82336101	0	BroT12.C04g20430	-	82336100
NP_001320342.1	BroT19.C04g20220.1_genome_8	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	8	3	GWHDTYL00000003	19691890	19693432	1543	175	BroT19.C04g20220.1	-	81289008	0	BroT19.C04g20220	-	81289007
NP_001320342.1	BroT06.C04g19170.1_genome_6	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	6	4	GWHDTYJ00000004	19361022	19362564	1543	175	BroT06.C04g19170.1	-	80188450	0	BroT06.C04g19170	-	80188449
NP_001320342.1	BroT02.C04g19960.1_genome_3	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	3	5	GWHDTWX00000005	19411882	19413424	1543	175	BroT02.C04g19960.1	-	78366525	0	BroT02.C04g19960	-	78366524
NP_001320342.1	rna-XM_013779776.1_genome_1	57.988	169	69	2	51	217	7	175	4.47e-65	202	PASS	PASS	1	4	NC_027751.1	16002153	16004069	1917	175	rna-XM_013779776.1	XM_013779776.1	76953549	0	gene-LOC106340956	LOC106340956	76953548
NP_001320342.1	BroT22.C02g01300.1_genome_15	55.114	176	76	1	45	217	4	179	5.93e-65	202	PASS	PASS	15	2	C02	1088950	1090064	1115	179	BroT22.C02g01300.1	-	85659564	0	BroT22.C02g01300	-	85659563
NP_001320342.1	BroT21.C02g01510.1_genome_13	55.114	176	76	1	45	217	4	179	5.93e-65	202	PASS	PASS	13	2	GWHDUBS00000002	1077251	1078365	1115	179	BroT21.C02g01510.1	-	84333747	0	BroT21.C02g01510	-	84333746
NP_001320342.1	BroT17.C02g01530.1_genome_12	55.114	176	76	1	45	217	4	179	5.93e-65	202	PASS	PASS	12	23	GWHDUBP00000023	1067676	1068790	1115	179	BroT17.C02g01530.1	-	84134616	0	BroT17.C02g01530	-	84134615
