Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit
BroT08.C08g12150.1	799107	11	AT4G16845.1	73.474	None	BroT22.C08g12670.1	92.958
BroT17.C02g20210.1	829644	12	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000
BroT24.C04g11300.1	843823	7	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
BroT22.C01g23400.1	840201	15	AT4G16845.1	44.575	None	BroT22.C01g23400.1	100.000
BolO_1g25200.1	840201	14	AT4G16845.1	42.918	None	BroT22.C01g23400.1	76.699
bro1G02419.1	840201	2	AT4G16845.1	46.963	None	BroT22.C01g23400.1	87.168
BroT06.C04g10790.1	843823	6	AT4G16845.1	37.831	None	BroT22.C04g11390.1	98.086
BroT21.C04g07080.1	843823	13	AT4G16845.1	37.632	None	BroT22.C04g11390.1	100.000
BroT13.C08g12480.1	799107	5	AT4G16845.1	76.650	None	BroT22.C08g12670.1	94.366
BroT12.C01g24430.1	840201	9	AT4G16845.1	50.236	None	BroT22.C01g23400.1	91.703
bro8G01685.1	799107	2	AT4G16845.1	73.131	None	BroT22.C08g12670.1	92.308
BroT02.C04g10960.1	843738	3	AT4G16845.1	37.105	None	BroT22.C04g10710.1	98.010
BroT06.C01g22840.1	840201	6	AT4G16845.1	49.299	None	BroT22.C01g23400.1	88.095
BroT06.C08g11830.1	799107	6	AT4G16845.1	73.474	None	BroT22.C08g12670.1	92.958
BroT21.C08g12340.1	799107	13	AT4G16845.1	73.474	None	BroT22.C08g12670.1	93.310
BroT07.C04g11510.1	843823	4	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
BroT08.C09g33330.1	832934	11	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
BroT02.C09g33580.1	832934	3	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.684
BroT22.C02g19440.1	829644	15	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000
BroT19.C01g23200.1	840201	8	AT4G16845.1	50.236	None	BroT22.C01g23400.1	91.703
BolO_4g11720.1	843738	14	AT4G16845.1	37.105	None	BroT22.C04g10710.1	98.010
BroT21.C02g19320.1	829644	13	AT5G51230.1	84.444	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	100.000
BroT06.C09g32310.1	832934	6	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
BroT12.C04g11040.1	843738	9	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT06.C04g10190.1	843738	6	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT06.C02g19370.1	829644	6	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT19.C08g12920.1	799107	8	AT4G16845.1	73.474	None	BroT22.C08g12670.1	92.958
BroT21.C09g32100.1	832934	13	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.842
BroT13.C04g10990.1	843738	5	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT10.C01g23730.1	840201	10	AT4G16845.1	49.299	None	BroT22.C01g23400.1	88.095
BroT13.C01g23100.1	840201	5	AT4G16845.1	49.533	None	BroT22.C01g23400.1	88.312
BroT24.C08g12210.1	799107	7	AT4G16845.1	73.474	None	BroT22.C08g12670.1	92.958
BroT12.C08g12680.1	799107	9	AT4G16845.1	73.239	None	BroT22.C08g12670.1	88.396
bro4G01107.1	843738	2	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT12.C09g33420.1	832934	9	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.684
BroT10.C08g12360.1	799107	10	AT4G16845.1	76.904	None	BroT22.C08g12670.1	93.662
BroT21.C04g06340.1	843738	13	AT4G16845.1	36.842	None	BroT22.C04g10710.1	100.000
BroT02.C02g19620.1	829644	3	AT5G51230.1	84.286	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	99.841
bro9G03954.1	832934	2	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
BroT10.C04g10870.1	843738	10	AT4G16845.1	37.105	None	BroT22.C04g10710.1	98.010
BroT07.C08g12730.1	799107	4	AT4G16845.1	73.239	None	BroT22.C08g12670.1	93.662
BroT22.C09g31890.1	832934	15	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BroT10.C09g33360.1	832934	10	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
rna-XM_013744724.1	799107	1	AT4G16845.1	76.515	None	BroT22.C08g12670.1	93.357
BroT13.C04g11690.1	843823	5	AT4G16845.1	37.368	None	BroT22.C04g11390.1	96.585
BroT19.C02g19600.1	829644	8	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT24.C09g31590.1	832934	7	AT5G51230.1	90.952	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	99.367
BroT17.C04g12200.1	843823	12	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
BroT17.C08g13950.1	799107	12	AT4G16845.1	73.474	None	BroT22.C08g12670.1	93.310
BroT19.C04g11260.1	843738	8	AT4G16845.1	36.842	None	BroT22.C04g10710.1	97.512
BroT24.C04g10630.1	843738	7	AT4G16845.1	37.105	None	BroT22.C04g10710.1	98.010
BroT24.C02g19720.1	829644	7	AT5G51230.1	84.127	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	99.683
BroT02.C04g11650.1	843823	3	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
BroT08.C02g19950.1	829644	11	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BolO_4g12420.1	843823	14	AT4G16845.1	37.632	None	BroT22.C04g11390.1	99.024
BroT07.C02g20130.1	829644	4	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT10.C02g19510.1	829644	10	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
rna-XM_013759561.1	829644	1	AT5G51230.1	83.175	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	98.413
BroT19.C09g33210.1	832934	8	AT5G51230.1	91.111	EMBRYONIC FLOWER 2	BroT22.C09g31890.1	100.000
BolO_2g22340.1	829644	14	AT5G51230.1	84.127	EMBRYONIC FLOWER 2	BroT22.C02g19440.1	99.683
