Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT25.C09g24830.1	35124348	2	AT2G03060.2	77.720	AGAMOUS-like 30	BroT22.C09g24920.1	100.000	NO	NO	cauliflower
BroT22.C05g14390.1	35124348	4	AT1G18750.3	64.804	AGAMOUS-like 65	BroT22.C05g14390.1	100.000	NO	NO	cauliflower
BroT21.C09g25090.1	35124348	3	AT2G03060.2	77.720	AGAMOUS-like 30	BroT22.C09g24920.1	100.000	NO	NO	cauliflower
caul5G01559.1	35124348	1	AT1G18750.3	72.131	AGAMOUS-like 65	BroT22.C05g14390.1	92.529	NO	NO	cauliflower
BroT22.C01g18350.1	35125692	4	AT4G24530.1	89.535	O-fucosyltransferase family protein	BroT22.C01g18350.1	100.000	NO	NO	cauliflower
caul3G05563.1	35125692	1	AT5G65470.1	92.262	O-fucosyltransferase family protein	BroT22.C03g53530.1	100.000	NO	NO	cauliflower
BroT25.C02g54220.1	35125692	2	AT5G65470.1	91.089	O-fucosyltransferase family protein	BroT22.C02g54220.1	100.000	NO	NO	cauliflower
BroT22.C02g54220.1	35125692	4	AT5G65470.1	91.089	O-fucosyltransferase family protein	BroT22.C02g54220.1	100.000	NO	NO	cauliflower
BroT25.C01g18340.1	35125692	2	AT4G24530.1	89.535	O-fucosyltransferase family protein	BroT22.C01g18350.1	100.000	NO	NO	cauliflower
BroT21.C02g53840.1	35125692	3	AT5G65470.1	91.089	O-fucosyltransferase family protein	BroT22.C02g54220.1	100.000	NO	NO	cauliflower
BroT22.C03g53530.1	35125692	4	AT5G65470.1	92.262	O-fucosyltransferase family protein	BroT22.C03g53530.1	100.000	NO	NO	cauliflower
BroT25.C03g51480.1	35125692	2	AT5G65470.1	92.262	O-fucosyltransferase family protein	BroT22.C03g53530.1	100.000	NO	NO	cauliflower
caul2G05946.1	35125692	1	AT5G65470.1	91.089	O-fucosyltransferase family protein	BroT22.C02g54220.1	100.000	NO	NO	cauliflower
caul1G01877.1	35125692	1	AT4G24530.1	89.535	O-fucosyltransferase family protein	BroT22.C01g18350.1	100.000	NO	NO	cauliflower
BroT21.C03g51940.1	35125692	3	AT5G65470.1	92.262	O-fucosyltransferase family protein	BroT22.C03g53530.1	100.000	NO	NO	cauliflower
BroT25.C07g44690.1	35125692	2	AT4G24530.1	65.803	O-fucosyltransferase family protein	BroT22.C01g18350.1	68.394	NO	NO	cauliflower
caul2G05688.1	35126713	1	AT5G61470.1	40.136	C2H2-like zinc finger protein	BroT22.C02g51890.1	96.414	NO	NO	cauliflower
BroT22.C07g38530.1	35126713	4	AT5G61470.1	47.039	C2H2-like zinc finger protein	BroT22.C07g38530.1	100.000	NO	NO	cauliflower
caul7G03881.1	35126713	1	AT5G61470.1	47.039	C2H2-like zinc finger protein	BroT22.C07g38530.1	100.000	NO	NO	cauliflower
BroT21.C02g51430.1	35126713	3	AT5G61470.1	40.136	C2H2-like zinc finger protein	BroT22.C02g51890.1	96.414	NO	NO	cauliflower
BroT21.C07g37240.1	35126713	3	AT5G61470.1	47.039	C2H2-like zinc finger protein	BroT22.C07g38530.1	100.000	NO	NO	cauliflower
BroT22.C02g51890.1	35126713	4	AT5G61470.1	39.918	C2H2-like zinc finger protein	BroT22.C02g51890.1	100.000	NO	NO	cauliflower
BroT25.C07g37000.1	35126713	2	AT5G61470.1	47.039	C2H2-like zinc finger protein	BroT22.C07g38530.1	100.000	NO	NO	cauliflower
BroT21.C03g56010.1	35090639	3	AT5G13790.2	73.600	AGAMOUS-like 15	BroT22.C03g57810.1	100.000	NO	NO	cauliflower
BroT21.C04g47220.1	35090639	3	AT2G34440.1	72.928	AGAMOUS-like 29	BroT22.C04g52200.1	96.277	NO	NO	cauliflower
BroT21.C03g36710.1	35090639	3	AT3G66656.1	69.101	AGAMOUS-like 91	BroT22.C03g37700.1	100.000	NO	NO	cauliflower
BroT21.C09g42580.1	35090639	3	AT5G60440.1	57.288	AGAMOUS-like 62	BroT22.C09g42150.1	100.000	NO	NO	cauliflower
BroT22.C08g45200.1	35090639	4	AT2G24840.1	63.415	AGAMOUS-like 61	BroT22.C08g45200.1	100.000	NO	NO	cauliflower
BroT22.C03g57810.1	35090639	4	AT5G13790.2	73.600	AGAMOUS-like 15	BroT22.C03g57810.1	100.000	NO	NO	cauliflower
BroT25.C03g65650.1	35090639	2	AT4G37940.1	85.030	AGAMOUS-like 21	BroT22.C03g69400.1	100.000	NO	NO	cauliflower
BroT21.C08g47880.1	35090639	3	AT2G24840.1	57.360	AGAMOUS-like 61	BroT22.C08g45200.1	99.387	NO	NO	cauliflower
caul8G04856.1	35090639	1	AT1G17310.2	66.981	None	BroT22.C08g44120.1	100.000	NO	NO	cauliflower
BroT22.C09g32820.1	35090639	4	AT5G51870.3	70.513	AGAMOUS-like 71	BroT22.C09g32820.1	100.000	NO	NO	cauliflower
BroT25.C08g23550.1	35090639	2	AT1G22130.1	84.071	AGAMOUS-like 104	BroT22.C08g24310.1	100.000	NO	NO	cauliflower
BroT21.C06g06950.1	35090639	3	AT3G57390.1	55.191	AGAMOUS-like 18	BroT22.C06g07160.1	89.600	NO	NO	cauliflower
BroT25.C09g04000.1	35090639	2	AT3G30260.1	81.526	AGAMOUS-like 79	BroT22.C09g03710.1	99.597	NO	NO	cauliflower
caul7G04553.1	35090639	1	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	NO	NO	cauliflower
caul3G01779.1	35090639	1	AT5G10140.1	87.500	FLOWERING LOCUS C	BroT22.C09g53740.1	85.938	NO	NO	cauliflower
BroT21.C03g30460.1	35090639	3	AT4G09960.4	80.769	SEEDSTICK	BroT22.C03g30900.1	99.441	NO	NO	cauliflower
caul3G01781.1	35090639	1	AT5G10140.1	68.817	FLOWERING LOCUS C	BroT22.C03g04930.1	67.677	NO	NO	cauliflower
BroT21.C07g00630.1	35090639	3	AT3G57390.1	72.414	AGAMOUS-like 18	BroT22.C04g29330.1	75.000	NO	NO	cauliflower
BroT25.C03g07540.1	35090639	2	AT5G15800.2	80.597	SEPALLATA1	BroT22.C03g08230.1	94.149	NO	NO	cauliflower
BroT21.C04g40220.1	35090639	3	AT2G24840.1	74.096	AGAMOUS-like 61	BroT22.C04g44980.1	100.000	NO	NO	cauliflower
BroT21.C09g54420.1	35090639	3	AT5G10140.1	76.923	FLOWERING LOCUS C	BroT22.C09g53740.1	99.265	NO	NO	cauliflower
caul6G00783.1	35090639	1	AT3G57390.1	59.091	AGAMOUS-like 18	BroT22.C06g07160.1	100.000	NO	NO	cauliflower
BroT22.C07g43070.1	35090639	4	AT4G18960.1	81.818	AGAMOUS	BroT22.C07g43070.1	100.000	NO	NO	cauliflower
BroT22.C02g25910.1	35090639	4	AT5G13790.2	60.606	AGAMOUS-like 15	BroT22.C02g25910.1	100.000	NO	NO	cauliflower
caul4G04443.1	35090639	1	AT2G22630.1	75.595	AGAMOUS-like 17	BroT22.C04g42770.1	100.000	NO	NO	cauliflower
BroT21.C09g04210.1	35090639	3	AT3G30260.1	81.526	AGAMOUS-like 79	BroT22.C09g03710.1	99.597	NO	NO	cauliflower
BroT22.C07g14940.1	35090639	4	AT1G24260.2	89.865	SEPALLATA3	BroT22.C07g14940.1	100.000	NO	NO	cauliflower
caul3G06022.1	35090639	1	AT5G13790.2	73.600	AGAMOUS-like 15	BroT22.C03g57810.1	100.000	NO	NO	cauliflower
caul7G00975.1	35090639	1	AT3G57390.1	74.576	AGAMOUS-like 18	BroT22.C04g29330.1	78.333	NO	NO	cauliflower
BroT21.C03g55440.1	35090639	3	AT5G62165.1	90.164	AGAMOUS-like 42	BroT22.C02g52270.1	90.164	NO	NO	cauliflower
BroT25.C03g30040.1	35090639	2	AT4G09960.4	78.889	SEEDSTICK	BroT22.C03g30900.1	100.000	NO	NO	cauliflower
BroT25.C05g38400.1	35090639	2	AT5G60440.1	56.066	AGAMOUS-like 62	BroT22.C05g37310.1	100.000	NO	NO	cauliflower
caul3G03879.1	35090639	1	AT3G66656.1	69.101	AGAMOUS-like 91	BroT22.C03g37700.1	100.000	NO	NO	cauliflower
BroT25.C03g16980.1	35090639	2	AT5G10140.1	89.062	FLOWERING LOCUS C	BroT22.C09g53740.1	87.500	NO	NO	cauliflower
BroT25.C01g16290.1	35090639	2	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	NO	YES	cauliflower
BroT25.C05g19570.1	35090639	2	AT1G22130.1	56.250	AGAMOUS-like 104	BroT22.C08g24310.1	84.848	NO	NO	cauliflower
BroT21.C01g16010.1	35090639	3	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	NO	YES	cauliflower
BroT21.C09g29570.1	35090639	3	AT4G09960.4	82.400	SEEDSTICK	BroT22.C07g22130.1	100.000	NO	NO	cauliflower
BroT22.C08g24310.1	35090639	4	AT1G22130.1	84.071	AGAMOUS-like 104	BroT22.C08g24310.1	100.000	NO	NO	cauliflower
BroT21.C09g29590.1	35090639	3	AT4G09960.4	78.286	SEEDSTICK	BroT22.C09g30260.1	99.405	NO	NO	cauliflower
BroT22.C04g52200.1	35090639	4	AT2G34440.1	74.857	AGAMOUS-like 29	BroT22.C04g52200.1	100.000	NO	NO	cauliflower
BroT22.C01g16360.1	35090639	4	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	NO	YES	cauliflower
BroT22.C03g07800.1	35090639	4	AT5G20240.1	92.208	PISTILLATA	BroT22.C03g07800.1	100.000	NO	NO	cauliflower
BroT22.C06g42860.1	35090639	4	AT1G77950.1	75.000	AGAMOUS-like 67	BroT22.C06g42860.1	100.000	NO	NO	cauliflower
BroT22.C04g26460.1	35090639	4	AT3G61120.1	65.306	AGAMOUS-like 13	BroT22.C04g26460.1	100.000	NO	NO	cauliflower
BroT22.C03g30900.1	35090639	4	AT4G09960.4	78.889	SEEDSTICK	BroT22.C03g30900.1	100.000	NO	NO	cauliflower
BroT21.C08g42500.1	35090639	3	AT2G24840.1	73.684	AGAMOUS-like 61	BroT22.C08g39790.1	99.533	NO	NO	cauliflower
BroT25.C07g45320.1	35090639	2	AT5G51870.3	40.491	AGAMOUS-like 71	BroT22.C07g46880.1	100.000	NO	NO	cauliflower
BroT22.C07g45070.1	35090639	4	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	NO	NO	cauliflower
BroT22.C09g30260.1	35090639	4	AT4G09960.4	77.841	SEEDSTICK	BroT22.C09g30260.1	100.000	NO	NO	cauliflower
BroT22.C04g42770.1	35090639	4	AT2G22630.1	75.595	AGAMOUS-like 17	BroT22.C04g42770.1	100.000	NO	NO	cauliflower
BroT25.C08g44130.1	35090639	2	AT2G24840.1	63.415	AGAMOUS-like 61	BroT22.C08g45200.1	96.774	NO	NO	cauliflower
BroT22.C03g37700.1	35090639	4	AT3G66656.1	69.101	AGAMOUS-like 91	BroT22.C03g37700.1	100.000	NO	NO	cauliflower
BroT25.C07g14200.1	35090639	2	AT1G24260.2	83.529	SEPALLATA3	BroT22.C07g14940.1	99.065	NO	NO	cauliflower
BroT22.C03g63760.1	35090639	4	AT1G69120.1	88.525	APETALA1	BroT22.C03g63760.1	100.000	NO	NO	cauliflower
BroT21.C01g40970.1	35090639	3	AT3G61840.1	36.111	Protein of unknown function (DUF688)	BroT22.C09g10760.1	50.000	NO	NO	cauliflower
BroT25.C04g43160.1	35090639	2	AT2G24840.1	73.494	AGAMOUS-like 61	BroT22.C04g44980.1	99.448	NO	NO	cauliflower
BroT22.C03g63770.1	35090639	4	AT1G26310.1	62.500	CAULIFLOWER	BroT22.C03g63770.1	100.000	NO	NO	cauliflower
BroT22.C05g37310.1	35090639	4	AT5G60440.1	56.066	AGAMOUS-like 62	BroT22.C05g37310.1	100.000	NO	NO	cauliflower
BroT25.C02g53900.1	35090639	2	AT5G65070.3	63.441	MADS AFFECTING FLOWERING 4	BroT22.C02g53930.1	100.000	NO	NO	cauliflower
BroT25.C09g32710.1	35090639	2	AT5G51870.3	70.513	AGAMOUS-like 71	BroT22.C09g32820.1	100.000	NO	NO	cauliflower
BroT25.C02g53880.1	35090639	2	AT5G65060.1	72.115	MADS AFFECTING FLOWERING 3	BroT22.C02g53900.1	100.000	NO	NO	cauliflower
caul3G02731.1	35090639	1	AT2G45650.1	88.525	AGAMOUS-like 6	BroT22.C03g26820.1	97.015	NO	NO	cauliflower
BroT25.C02g53870.1	35090639	2	AT5G65060.1	84.314	MADS AFFECTING FLOWERING 3	BroT22.C02g53900.1	74.627	NO	NO	cauliflower
BroT21.C03g52320.1	35090639	3	AT5G65050.3	63.043	AGAMOUS-like 31	BroT22.C03g53940.1	100.000	NO	NO	cauliflower
BroT25.C04g40920.1	35090639	2	AT2G22630.1	75.595	AGAMOUS-like 17	BroT22.C04g42770.1	100.000	NO	NO	cauliflower
BroT25.C03g55490.1	35090639	2	AT5G13790.2	73.600	AGAMOUS-like 15	BroT22.C03g57810.1	100.000	NO	NO	cauliflower
BroT25.C03g07130.1	35090639	2	AT5G20240.1	92.208	PISTILLATA	BroT22.C03g07800.1	100.000	NO	NO	cauliflower
BroT21.C03g52340.1	35090639	3	AT5G65050.3	87.097	AGAMOUS-like 31	BroT22.C03g53980.1	81.421	NO	NO	cauliflower
BroT25.C03g36370.1	35090639	2	AT3G66656.1	69.101	AGAMOUS-like 91	BroT22.C03g37700.1	100.000	NO	NO	cauliflower
BroT21.C07g41790.1	35090639	3	AT4G18960.1	83.333	AGAMOUS	BroT22.C07g43070.1	100.000	NO	NO	cauliflower
BroT22.C04g44980.1	35090639	4	AT2G24840.1	74.096	AGAMOUS-like 61	BroT22.C04g44980.1	100.000	NO	NO	cauliflower
BroT25.C06g41590.1	35090639	2	AT1G77950.1	75.000	AGAMOUS-like 67	BroT22.C06g42860.1	100.000	NO	NO	cauliflower
caul4G05470.1	35090639	1	AT2G34440.1	72.928	AGAMOUS-like 29	BroT22.C04g52200.1	96.277	NO	NO	cauliflower
caul8G04411.1	35090639	1	AT2G24840.1	73.684	AGAMOUS-like 61	BroT22.C08g39790.1	99.533	NO	NO	cauliflower
caul5G04104.1	35090639	1	AT5G60440.1	56.066	AGAMOUS-like 62	BroT22.C05g37310.1	100.000	NO	NO	cauliflower
caul9G00361.1	35090639	1	AT3G30260.1	81.526	AGAMOUS-like 79	BroT22.C09g03710.1	99.597	NO	NO	cauliflower
BroT21.C02g53520.1	35090639	3	AT5G65070.3	63.441	MADS AFFECTING FLOWERING 4	BroT22.C02g53930.1	100.000	NO	NO	cauliflower
BroT21.C03g26530.1	35090639	3	AT2G45650.1	78.378	AGAMOUS-like 6	BroT22.C04g06510.1	80.000	NO	NO	cauliflower
BroT22.C03g53940.1	35090639	4	AT5G65050.3	63.043	AGAMOUS-like 31	BroT22.C03g53940.1	100.000	NO	NO	cauliflower
BroT25.C07g43470.1	35090639	2	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	NO	NO	cauliflower
BroT21.C08g27000.1	35090639	3	AT1G22130.1	84.071	AGAMOUS-like 104	BroT22.C08g24310.1	100.000	NO	NO	cauliflower
BroT25.C08g43060.1	35090639	2	AT1G17310.2	66.981	None	BroT22.C08g44120.1	100.000	NO	NO	cauliflower
BroT22.C09g32390.1	35090639	4	AT2G02240.1	30.769	maternal effect embryo arrest 66	BroT22.C09g32390.1	100.000	NO	NO	cauliflower
caul9G03181.1	35090639	1	AT4G09960.4	73.600	SEEDSTICK	BroT22.C09g30260.1	99.160	NO	NO	cauliflower
BroT22.C03g53980.1	35090639	4	AT5G65050.3	82.812	AGAMOUS-like 31	BroT22.C03g53980.1	100.000	NO	NO	cauliflower
BroT22.C07g38030.1	35090639	4	AT5G60910.1	96.721	AGAMOUS-like 8	BroT22.C07g38030.1	100.000	NO	NO	cauliflower
BroT22.C06g07160.1	35090639	4	AT3G57390.1	59.091	AGAMOUS-like 18	BroT22.C06g07160.1	100.000	NO	NO	cauliflower
BroT22.C07g38020.1	35090639	4	AT5G60910.1	87.097	AGAMOUS-like 8	BroT22.C07g38020.1	100.000	NO	NO	cauliflower
BroT22.C06g07140.1	35090639	4	AT5G51870.3	65.385	AGAMOUS-like 71	BroT22.C06g07140.1	100.000	NO	NO	cauliflower
caul9G03179.1	35090639	1	AT4G09960.4	82.400	SEEDSTICK	BroT22.C07g22130.1	100.000	NO	NO	cauliflower
caul3G03161.1	35090639	1	AT4G09960.4	78.889	SEEDSTICK	BroT22.C03g30900.1	100.000	NO	NO	cauliflower
BroT25.C03g60870.1	35090639	2	AT1G26310.1	63.636	CAULIFLOWER	BroT22.C03g63770.1	97.590	NO	NO	cauliflower
BroT21.C05g37060.1	35090639	3	AT5G60440.1	43.860	AGAMOUS-like 62	BroT22.C05g37310.1	100.000	NO	NO	cauliflower
BroT25.C03g60860.1	35090639	2	AT1G69120.1	88.525	APETALA1	BroT22.C03g63760.1	100.000	NO	NO	cauliflower
BroT22.C03g26820.1	35090639	4	AT2G45650.1	91.803	AGAMOUS-like 6	BroT22.C03g26820.1	100.000	NO	NO	cauliflower
caul8G04971.1	35090639	1	AT2G24840.1	57.360	AGAMOUS-like 61	BroT22.C08g45200.1	99.387	NO	NO	cauliflower
BroT21.C06g42710.1	35090639	3	AT1G77950.1	56.044	AGAMOUS-like 67	BroT22.C06g42860.1	100.000	NO	NO	cauliflower
BroT21.C07g14190.1	35090639	3	AT1G24260.2	89.865	SEPALLATA3	BroT22.C07g14940.1	100.000	NO	NO	cauliflower
BroT21.C07g43720.1	35090639	3	AT4G22950.1	83.562	AGAMOUS-like 19	BroT22.C07g45070.1	100.000	NO	NO	cauliflower
BroT25.C06g06690.1	35090639	2	AT3G57390.1	59.091	AGAMOUS-like 18	BroT22.C06g07160.1	100.000	NO	NO	cauliflower
BroT21.C08g46810.1	35090639	3	AT1G17310.2	66.981	None	BroT22.C08g44120.1	100.000	NO	NO	cauliflower
BroT22.C08g44120.1	35090639	4	AT1G17310.2	66.981	None	BroT22.C08g44120.1	100.000	NO	NO	cauliflower
BroT25.C06g06670.1	35090639	2	AT5G13790.2	62.500	AGAMOUS-like 15	BroT22.C06g07140.1	100.000	NO	NO	cauliflower
caul1G01636.1	35090639	1	AT4G22950.1	86.425	AGAMOUS-like 19	BroT22.C01g16360.1	100.000	NO	YES	cauliflower
caul8G02749.1	35090639	1	AT1G22130.1	84.071	AGAMOUS-like 104	BroT22.C08g24310.1	100.000	NO	NO	cauliflower
BroT22.C09g03710.1	35090639	4	AT3G30260.1	81.124	AGAMOUS-like 79	BroT22.C09g03710.1	100.000	NO	NO	cauliflower
BroT21.C09g32910.1	35090639	3	AT5G51870.3	70.513	AGAMOUS-like 71	BroT22.C09g32820.1	100.000	NO	NO	cauliflower
caul4G04693.1	35090639	1	AT2G24840.1	74.096	AGAMOUS-like 61	BroT22.C04g44980.1	100.000	NO	NO	cauliflower
BroT25.C03g51910.1	35090639	2	AT5G65050.3	82.812	AGAMOUS-like 31	BroT22.C03g53980.1	100.000	NO	NO	cauliflower
BroT25.C09g27650.1	35090639	2	AT4G11880.1	53.571	AGAMOUS-like 14	BroT22.C09g27820.1	100.000	NO	NO	cauliflower
BroT25.C09g29430.1	35090639	2	AT4G09960.4	77.841	SEEDSTICK	BroT22.C09g30260.1	99.451	NO	NO	cauliflower
BroT25.C03g51880.1	35090639	2	AT5G65050.3	63.043	AGAMOUS-like 31	BroT22.C03g53940.1	100.000	NO	NO	cauliflower
BroT21.C05g30760.1	35090639	3	AT3G03970.1	37.607	ARM repeat superfamily protein	BroT22.C03g53980.1	97.727	NO	NO	cauliflower
BroT25.C09g29410.1	35090639	2	AT4G09960.4	78.947	SEEDSTICK	BroT22.C07g22130.1	93.434	NO	NO	cauliflower
BroT22.C07g22130.1	35090639	4	AT4G09960.4	82.123	SEEDSTICK	BroT22.C07g22130.1	100.000	NO	NO	cauliflower
BroT22.C09g42150.1	35090639	4	AT5G60440.1	57.288	AGAMOUS-like 62	BroT22.C09g42150.1	100.000	NO	NO	cauliflower
caul3G05616.1	35090639	1	AT5G65050.3	82.812	AGAMOUS-like 31	BroT22.C03g53980.1	100.000	NO	NO	cauliflower
BroT25.C09g48480.1	35090639	2	AT3G02310.1	80.000	SEPALLATA 2	BroT22.C09g48970.1	100.000	NO	NO	cauliflower
caul6G04236.1	35090639	1	AT1G77950.1	75.000	AGAMOUS-like 67	BroT22.C06g42860.1	100.000	NO	NO	cauliflower
BroT25.C04g49780.1	35090639	2	AT2G34440.1	74.857	AGAMOUS-like 29	BroT22.C04g52200.1	100.000	NO	NO	cauliflower
BroT22.C02g53930.1	35090639	4	AT5G65070.3	63.441	MADS AFFECTING FLOWERING 4	BroT22.C02g53930.1	100.000	NO	NO	cauliflower
BroT22.C01g20920.1	35090639	4	AT5G60910.1	93.443	AGAMOUS-like 8	BroT22.C01g20920.1	100.000	NO	NO	cauliflower
BroT25.C03g26040.1	35090639	2	AT2G45650.1	91.803	AGAMOUS-like 6	BroT22.C03g26820.1	100.000	NO	NO	cauliflower
caul2G05911.1	35090639	1	AT5G65060.1	64.925	MADS AFFECTING FLOWERING 3	BroT22.C02g53900.1	92.562	NO	NO	cauliflower
BroT21.C04g38000.1	35090639	3	AT2G22630.1	75.595	AGAMOUS-like 17	BroT22.C04g42770.1	100.000	NO	NO	cauliflower
caul9G03555.1	35090639	1	AT5G51870.3	70.513	AGAMOUS-like 71	BroT22.C09g32820.1	100.000	NO	NO	cauliflower
BroT25.C07g50540.1	35090639	2	AT3G57230.1	80.153	AGAMOUS-like 16	BroT22.C07g52120.1	100.000	NO	NO	cauliflower
BroT22.C07g25060.1	35124352	4	AT5G46900.1	82.558	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	BroT22.C07g25060.1	100.000	NO	NO	cauliflower
BroT21.C09g38930.1	35124352	3	AT5G45570.1	37.622	transposable element gene	BroT22.C02g40620.1	40.419	NO	NO	cauliflower
BroT21.C09g30260.1	35124352	3	AT5G45570.1	38.210	transposable element gene	BroT22.C02g40620.1	39.058	NO	NO	cauliflower
BroT21.C02g36070.1	35124352	3	AT5G45570.1	46.237	transposable element gene	BroT22.C02g48950.1	74.107	NO	NO	cauliflower
BroT21.C02g34690.1	35124352	3	AT5G45570.1	28.289	transposable element gene	BroT22.C08g16000.1	42.017	NO	NO	cauliflower
BroT21.C07g05630.1	35124352	3	AT5G45570.1	54.783	transposable element gene	BroT22.C09g53000.1	75.000	NO	NO	cauliflower
BroT21.C02g26220.1	35124352	3	AT5G45570.1	30.223	transposable element gene	BroT22.C02g32450.1	31.606	NO	NO	cauliflower
BroT21.C03g73330.1	35124352	3	AT5G45570.1	50.000	transposable element gene	BroT22.C07g25060.1	96.667	NO	NO	cauliflower
BroT22.C03g67490.1	35124352	4	AT5G45570.1	46.429	transposable element gene	BroT22.C03g67490.1	100.000	NO	NO	cauliflower
BroT21.C08g50150.1	35124352	3	AT5G45570.1	27.098	transposable element gene	BroT22.C07g43240.1	28.132	NO	NO	cauliflower
BroT21.C06g16700.1	35124352	3	AT5G45570.1	35.388	transposable element gene	BroT22.C02g40620.1	34.770	NO	NO	cauliflower
BroT21.C03g50070.1	35124352	3	AT5G45570.1	37.620	transposable element gene	BroT22.C02g40620.1	39.820	NO	NO	cauliflower
BroT21.C06g06500.1	35124352	3	AT3G31910.1	46.377	Domain of unknown function (DUF1985)	BroT22.C06g06720.1	98.701	NO	NO	cauliflower
BroT21.C05g38520.1	35124352	3	AT5G45570.1	40.288	transposable element gene	BroT22.C09g53000.1	85.882	NO	NO	cauliflower
BroT21.C07g18640.1	35124352	3	AT5G45570.1	49.419	transposable element gene	BroT22.C09g53000.1	95.495	NO	NO	cauliflower
BroT22.C09g53000.1	35124352	4	AT5G45570.1	49.550	transposable element gene	BroT22.C09g53000.1	100.000	NO	NO	cauliflower
BroT21.C01g41340.1	35124352	3	AT5G45570.1	39.800	transposable element gene	BroT22.C02g40620.1	41.389	NO	NO	cauliflower
BroT21.C02g45350.1	35124352	3	AT5G45570.1	54.310	transposable element gene	BroT22.C07g25060.1	76.106	NO	NO	cauliflower
caul9G04005.1	35124352	1	AT5G45570.1	49.765	transposable element gene	BroT22.C02g48950.1	80.000	NO	NO	cauliflower
